LOTID5	WAFER_ID	PROCESS_ID_LX562150_PROCESS_ID_MAX	PROCESS_ID_ZA522600_PROCESS_ID_MAX	ET_TIME_LX562150_TKOUT_TIME_MAX	ET_TIME_ZA522600_TKOUT_TIME_MAX	ET_D120_M1_1b_lat_100BCR_VALUE_MEDIAN	ET_D120_M1_1b_lat_100IRD_L_VALUE_MEDIAN	ET_D120_M1_4b_ult_PD_Idsat_VALUE_MEDIAN	ET_D120_M1_4b_ult_PD_Vtsat_VALUE_MEDIAN	ET_D120_M1_4b_ult_PG_Idsat_VALUE_MEDIAN	ET_D120_M1_4b_ult_PG_Vtsat_VALUE_MEDIAN	ET_D120_M1_4b_ult_PU_Idsat_VALUE_MEDIAN	ET_D120_M1_4b_ult_PU_Vtsat_VALUE_MEDIAN	ET_EGN_2/0.15_Vtsat_VALUE_MEDIAN	ET_EGN_2/2_Vtlin_VALUE_MEDIAN	ET_EGN_Tox_inv_VALUE_MEDIAN	ET_EGP_2/0.45_Vtsat_VALUE_MEDIAN	ET_EGP_2/2_Vtlin_VALUE_MEDIAN	ET_EGP_Tox_inv_VALUE_MEDIAN	ET_HL152_M1_4b_ult_PD_Idsat_VALUE_MEDIAN	ET_HL152_M1_4b_ult_PD_Vtsat_VALUE_MEDIAN	ET_HL152_M1_4b_ult_PG_Idsat_VALUE_MEDIAN	ET_HL152_M1_4b_ult_PG_Vtsat_VALUE_MEDIAN	ET_HL152_M1_4b_ult_PU_Idsat_VALUE_MEDIAN	ET_HL152_M1_4b_ult_PU_Vtsat_VALUE_MEDIAN	ET_HVTN_0.21/0.03x7_Vtsat_VALUE_MEDIAN	ET_HVTP_0.3/0.03x5_Vtsat_VALUE_MEDIAN	ET_LVTN_0.21/0.03x7_Vtsat_VALUE_MEDIAN	ET_LVTP_0.3/0.03x5_Vtsat_VALUE_MEDIAN	ET_LVT_Vt_np_ratio_VALUE_MEDIAN	ET_LVT_Vt_sum_VALUE_MEDIAN	ET_Leff_N_VALUE_MEDIAN	ET_Leff_P_VALUE_MEDIAN	ET_Lpoly_RVTN_VALUE_MEDIAN	ET_Lpoly_RVTP_VALUE_MEDIAN	ET_NW_Res_10x30_VALUE_MEDIAN	ET_OP_NRX_Res_10X30_VALUE_MEDIAN	ET_OP_PPC_Res_10X30_VALUE_MEDIAN	ET_RVTN_0.21/0.03x7_Vtsat_VALUE_MEDIAN	ET_RVTN_1/1_Vtlin_VALUE_MEDIAN	ET_RVTN_Cov_VALUE_MEDIAN	ET_RVTN_Covdd_VALUE_MEDIAN	ET_RVTP_0.3/0.03x5_Vtsat_VALUE_MEDIAN	ET_RVTP_1/1_Vtlin_VALUE_MEDIAN	ET_RVTP_Cov_VALUE_MEDIAN	ET_RVTP_Covdd_VALUE_MEDIAN	ET_RVT_Vt_Sum_VALUE_MEDIAN	ET_RVT_vt_NP_ratio_VALUE_MEDIAN	ET_SGN_Tox_inv_VALUE_MEDIAN	ET_SGP_Tox_inv_VALUE_MEDIAN	ET_SLVTN_0.21/0.03x7_Vtsat_VALUE_MEDIAN	ET_SLVTN_1/1_Vtlin_VALUE_MEDIAN	ET_SLVTP_0.3/0.03x5_Vtsat_VALUE_MEDIAN	ET_SLVTP_1/1_Vtlin_VALUE_MEDIAN	ET_VPNP_Beta_VALUE_MEDIAN
S5ZVX	13	UXU3		05/07/2017 03:32										0.517	0.544	35.512	0.459	0.532	39.966							0.476	0.4					24.562	18.894																13.129	16.036					
S5ZVX	20	UXU3		05/07/2017 03:57										0.522	0.552	35.888		0.539	40.177							0.485	0.411																						13.385	16.195					
S601V	13	UXU3		10/07/2017 17:37										0.513	0.546	35.868	0.474	0.544	40.525							0.498	0.398					25.148	18.629																13.392	16.344					
S601V	16	UXU3		10/07/2017 18:02										0.524	0.551	35.893		0.551	40.625							0.506	0.419																						13.397	16.228					
S603K	8	UXU3		27/06/2017 00:45										0.526	0.553	36.538	0.487	0.558	40.899							0.495	0.412					24.906	19.472																13.355	16.241					
S603K	9	UXU3		27/06/2017 02:07										0.519	0.554	35.93	0.475	0.547	40.345							0.496	0.399					24.85	18.688																13.336	16.217					
S603K	10	UXU3		27/06/2017 02:16										0.532	0.558	36.878		0.556	41.181							0.492	0.407																						13.293	16.194					
S603K	11	UXU3		27/06/2017 03:40										0.518	0.554	36.127	0.471	0.544	40.408							0.494	0.407					24.966	18.785																13.374	16.219					
S603K	12	UXU3		27/06/2017 05:05										0.528	0.558	35.999	0.476	0.548	40.62							0.5	0.425					24.762	18.809																13.331	16.252					
S603K	13	UXU3		27/06/2017 06:28										0.53	0.563	36.934	0.472	0.543	41.105							0.492	0.383					24.754	18.703																13.405	16.401					
S603K	14	UXU3		27/06/2017 06:54										0.531	0.567	36.913		0.548	41.146							0.506	0.414																						13.389	16.369					
S603K	20	UXU3		27/06/2017 07:00										0.534	0.557	36.67		0.548	40.962							0.494	0.401																						13.357	16.289					
S609U	1	UXU3		12/07/2017 14:06										0.521	0.546	36.076		0.534	40.503							0.475	0.402																						13.208	16.181					
S609U	13	UXU3		12/07/2017 15:30										0.52	0.548	36.075	0.469	0.537	40.806							0.481	0.4					25.369	19.815																13.293	16.266					
S609W	12	UXU3		05/07/2017 11:23										0.519	0.551	36.422		0.538	40.756							0.491	0.374																						13.383	16.247					
S609W	13	UXU3		05/07/2017 12:46										0.511	0.55	36.155	0.465	0.535	40.47							0.483	0.389					24.786	19.118																13.431	16.3					
S609X	9	UXU3		04/07/2017 01:50										0.518	0.545	36.229		0.563	40.79							0.493	0.418																						13.38	16.27					
S609X	13	UXU3		04/07/2017 03:14										0.516	0.545	36.154	0.484	0.554	40.74							0.482	0.41					25.219	18.877																13.329	16.239					
S609Y	7	UXU3		29/06/2017 19:16										0.521	0.551	36.135		0.54	40.699							0.485	0.389																						13.326	16.248					
S609Y	13	UXU3		29/06/2017 20:46										0.523	0.546	36.094	0.474	0.544	40.688							0.483	0.392					24.442	18.502																13.309	16.174					
S60G6	10	UXU3		27/06/2017 01:02										0.516	0.547	36.115		0.548	40.557							0.486	0.369																						13.366	16.259					
S60G6	13	UXU3		27/06/2017 02:29										0.512	0.542	35.907	0.479	0.548	40.437							0.468	0.386					24.107	18.506																13.329	16.192					
S60HV	13	UXU3		14/07/2017 07:09										0.525	0.553	36.234	0.48	0.551	40.603							0.512	0.416					25.347	18.678																13.33	16.135					
S60HV	21	UXU3		14/07/2017 07:34										0.52	0.548	35.808		0.554	40.407							0.5	0.403																						13.405	16.186					
S60HX	10	UXU3		01/07/2017 10:10										0.512	0.55	36.202		0.558	40.621							0.466	0.388																						13.333	16.196					
S60HX	13	UXU3		01/07/2017 11:31										0.509	0.546	36.258	0.487	0.558	40.762							0.484	0.404					24.329	18.168																13.407	16.227					
S60HX	15	UXU3		01/07/2017 11:57										0.525	0.557	36.765		0.556	41.05							0.483	0.381																						13.339	16.22					
S60HX	20	UXU3		01/07/2017 12:04										0.519	0.553	36.226		0.552	40.655							0.484	0.388																						13.402	16.247					
S60HZ	5	UXU3		27/06/2017 01:09										0.525	0.552	36.408		0.563	40.91							0.485	0.374																						13.269	16.185					
S60HZ	13	UXU3		27/06/2017 02:33										0.526	0.558	36.403	0.478	0.549	40.795							0.494	0.373					23.635	18.102																13.266	16.194					
S60K1	14	UXU3		11/07/2017 12:35										0.515	0.55	36.232	0.479	0.553	40.571							0.478	0.393					24.447	18.427																13.321	16.192					
S60K1	18	UXU3		11/07/2017 12:57				37.656	0.499	35.566	0.489	9.912	0.462	0.522	0.557	36.094		0.546	40.505							0.483	0.388																						13.384	16.167					
S60K1	22	UXU3		11/07/2017 13:23										0.522	0.553	36.029		0.546	40.305							0.475	0.394																						13.306	16.166					
S60NT	5	UXU3		03/07/2017 21:07										0.518	0.549	36.22		0.553	40.792							0.493	0.408																						13.399	16.24					
S60NT	13	UXU3		03/07/2017 23:19										0.514	0.552	36.401	0.481	0.552	40.752							0.505	0.407					24.729	18.528																13.418	16.277					
S60NX	13	UXU3		29/06/2017 19:14										0.506	0.541	35.528	0.489	0.561	39.986							0.477	0.373					23.964	18.13																13.45	16.294					
S60NX	22	UXU3		29/06/2017 19:40										0.528	0.557	36.401		0.565	40.949							0.481	0.374																						13.451	16.291					
S60NY	1	UXU3		29/06/2017 13:30										0.524	0.557	36.359		0.541	40.629							0.481	0.389																						13.495	16.266					
S60NY	13	UXU3		29/06/2017 14:55										0.521	0.556	36.421	0.476	0.545	40.729							0.483	0.388					24.817	18.705																13.369	16.131					
S60RX	13	UXU3		01/07/2017 19:51										0.527	0.56	36.322	0.48	0.553	40.681							0.477	0.384					24.042	18.412																13.265	16.213					
S60RX	23	UXU3		01/07/2017 20:16										0.507	0.549	35.977		0.562	40.358							0.475	0.382																						13.375	16.413					
S60T2	7	UXU3		01/07/2017 03:48				40.338	0.482	37.721	0.482	9.021	0.48	0.519	0.545	36.063		0.558	40.436							0.481	0.419																						13.409	16.216					
S60T2	8	UXU3		01/07/2017 04:10				38.91	0.488	36.109	0.484	9.108	0.473	0.519	0.555	36.049		0.546	40.405							0.498	0.411																						13.409	16.154					
S60T2	9	UXU3		01/07/2017 04:35										0.52	0.546	35.923		0.551	40.238							0.469	0.418																						13.239	16.062					
S60T2	13	UXU3		01/07/2017 05:57										0.526	0.557	36.624	0.488	0.559	40.886							0.484	0.412					24.53	18.718																13.368	16.207					
S60T2	17	UXU3		01/07/2017 06:20				39.077	0.499	38.054	0.477	9.801	0.476	0.521	0.552	36.14		0.559	40.788							0.474	0.402																						13.322	16.122					
S60T2	18	UXU3		01/07/2017 06:42				38.575	0.498	35.42	0.488	9.147	0.482	0.524	0.557	36.116		0.553	40.559							0.492	0.42																						13.426	16.176					
S60UP	9	UXU3		26/06/2017 15:49										0.52	0.554	36.766	0.485	0.556	41.239							0.486	0.38					23.797	18.081																13.43	16.235					
S60UP	10	UXU3		26/06/2017 15:55										0.52	0.554	36.115		0.542	40.659							0.494	0.388																						13.363	16.131					
S60UP	11	UXU3		26/06/2017 17:19										0.517	0.55	36.347	0.481	0.555	40.657							0.489	0.386					23.733	18.052																13.458	16.237					
