LOTID5	WAFER_ID	PROCESS_ID_LX562150_PROCESS_ID_MAX	PROCESS_ID_ZA522600_PROCESS_ID_MAX	ET_TIME_LX562150_TKOUT_TIME_MAX	ET_TIME_ZA522600_TKOUT_TIME_MAX	ET_D120_M1_1b_lat_100BCR_VALUE_MEDIAN	ET_D120_M1_1b_lat_100IRD_L_VALUE_MEDIAN	ET_D120_M1_4b_ult_PD_Idsat_VALUE_MEDIAN	ET_D120_M1_4b_ult_PD_Vtsat_VALUE_MEDIAN	ET_D120_M1_4b_ult_PG_Idsat_VALUE_MEDIAN	ET_D120_M1_4b_ult_PG_Vtsat_VALUE_MEDIAN	ET_D120_M1_4b_ult_PU_Idsat_VALUE_MEDIAN	ET_D120_M1_4b_ult_PU_Vtsat_VALUE_MEDIAN	ET_EGN_2/0.15_Vtsat_VALUE_MEDIAN	ET_EGN_2/2_Vtlin_VALUE_MEDIAN	ET_EGN_Tox_inv_VALUE_MEDIAN	ET_EGP_2/0.45_Vtsat_VALUE_MEDIAN	ET_EGP_2/2_Vtlin_VALUE_MEDIAN	ET_EGP_Tox_inv_VALUE_MEDIAN	ET_HL152_M1_4b_ult_PD_Idsat_VALUE_MEDIAN	ET_HL152_M1_4b_ult_PD_Vtsat_VALUE_MEDIAN	ET_HL152_M1_4b_ult_PG_Idsat_VALUE_MEDIAN	ET_HL152_M1_4b_ult_PG_Vtsat_VALUE_MEDIAN	ET_HL152_M1_4b_ult_PU_Idsat_VALUE_MEDIAN	ET_HL152_M1_4b_ult_PU_Vtsat_VALUE_MEDIAN	ET_HVTN_0.21/0.03x7_Vtsat_VALUE_MEDIAN	ET_HVTP_0.3/0.03x5_Vtsat_VALUE_MEDIAN	ET_LVTN_0.21/0.03x7_Vtsat_VALUE_MEDIAN	ET_LVTP_0.3/0.03x5_Vtsat_VALUE_MEDIAN	ET_LVT_Vt_np_ratio_VALUE_MEDIAN	ET_LVT_Vt_sum_VALUE_MEDIAN	ET_Leff_N_VALUE_MEDIAN	ET_Leff_P_VALUE_MEDIAN	ET_Lpoly_RVTN_VALUE_MEDIAN	ET_Lpoly_RVTP_VALUE_MEDIAN	ET_NW_Res_10x30_VALUE_MEDIAN	ET_OP_NRX_Res_10X30_VALUE_MEDIAN	ET_OP_PPC_Res_10X30_VALUE_MEDIAN	ET_RVTN_0.21/0.03x7_Vtsat_VALUE_MEDIAN	ET_RVTN_1/1_Vtlin_VALUE_MEDIAN	ET_RVTN_Cov_VALUE_MEDIAN	ET_RVTN_Covdd_VALUE_MEDIAN	ET_RVTP_0.3/0.03x5_Vtsat_VALUE_MEDIAN	ET_RVTP_1/1_Vtlin_VALUE_MEDIAN	ET_RVTP_Cov_VALUE_MEDIAN	ET_RVTP_Covdd_VALUE_MEDIAN	ET_RVT_Vt_Sum_VALUE_MEDIAN	ET_RVT_vt_NP_ratio_VALUE_MEDIAN	ET_SGN_Tox_inv_VALUE_MEDIAN	ET_SGP_Tox_inv_VALUE_MEDIAN	ET_SLVTN_0.21/0.03x7_Vtsat_VALUE_MEDIAN	ET_SLVTN_1/1_Vtlin_VALUE_MEDIAN	ET_SLVTP_0.3/0.03x5_Vtsat_VALUE_MEDIAN	ET_SLVTP_1/1_Vtlin_VALUE_MEDIAN	ET_VPNP_Beta_VALUE_MEDIAN
S63Y6	4		UXIL		06/07/2017 12:50	181.973	22.022	41.42	0.477	38.985	0.465	9.69	0.455	0.503	0.552	37.065		0.501	38.432		0.468	56.03	0.462	18.583	0.347			0.298	0.185			23.768	18.539	34.926	37.547				0.376	0.413	0.244	1.153	0.308	0.502	0.314	1.056	0.684		12.587	15.098	0.234		0.114		
S63Y6	5		UXIL		06/07/2017 12:54	217.554	23.836	44.205	0.469	40.26	0.461	10.55	0.441	0.51	0.557	36.825		0.5	38.345		0.465	57.015	0.457	17.632	0.363			0.284	0.189			23.583	17.986	34.96	37.611				0.369	0.412	0.252	1.152	0.312	0.511	0.318	1.043	0.681		12.611	15.281	0.227		0.1		
S63Y6	7		UXIL		06/07/2017 13:00	196.623	21.57	44.04	0.478	39.905	0.473	9.86	0.442	0.496	0.547	36.788		0.505	38.185		0.461	58.35	0.466	17.669	0.343			0.279	0.18			23.781	18.321	35.116	37.587				0.361	0.408	0.25	1.156	0.295	0.504	0.316	1.058	0.666		12.562	15.089	0.223		0.116		
S63Y6	8		UXIL		06/07/2017 13:05	192.109	23.182	44.82	0.477	39.49	0.471	10.245	0.447	0.501	0.556	36.783		0.499	38.042		0.469	55.745	0.469	17.08	0.361			0.293	0.193			24.406	18.532	35.952	38.394				0.383	0.416	0.253	1.179	0.31	0.509	0.323	1.064	0.691		12.623	15.296	0.236		0.11		
S63Y6	9		UXIL		06/07/2017 13:10	187.04	22.492	43.215	0.474	37.405	0.47	10.406	0.436	0.501	0.551	36.97		0.506	38.398		0.468	54.185	0.47	17.434	0.367			0.292	0.176			23.734	18.341	34.991	37.65				0.377	0.416	0.248	1.157	0.313	0.508	0.32	1.063	0.697		12.587	15.071	0.228		0.107		
S63ZP	13		UXCK		02/07/2017 19:01	232.904	17.044	33.57	0.527	31.3	0.516	11.285	0.376	0.509	0.559	36.102	0.436	0.489	37.377	64.22	0.467	51.995	0.472	20.262	0.258			0.365	0.175					34.2	36.539	791.325			0.44	0.431	0.226	1.049	0.296	0.498	0.302	0.958	0.731		13.847	16.618					0.876
S63ZP	16		UXCK		02/07/2017 19:08	226.407	18.594	37.545	0.501	34.375	0.491	10.215	0.408	0.51	0.563			0.503		70.35	0.452	54.7	0.46	19.38	0.271			0.343	0.181			24.858	17.174	35.284	37.599				0.418	0.419	0.229	1.08	0.316	0.508	0.313	0.988	0.736		13.772	16.398					
S63ZP	17		UXCK		02/07/2017 19:13	240.085	16.588	35.86	0.514	32.15	0.509	11.07	0.376	0.507	0.559			0.496		67.795	0.457	52.62	0.477	19.391	0.28			0.345	0.193			24.292	16.968	34.885	37.017				0.426	0.419	0.228	1.068	0.307	0.504	0.31	0.979	0.744		13.826	16.388					
S63ZP	21		UXCK		02/07/2017 19:20	239.84	17.462	36.14	0.519	32.7	0.499	10.724	0.392	0.512	0.565			0.505		67.07	0.461	51.54	0.464	18.639	0.304			0.362	0.199			25.318	17.593	35.637	37.808				0.434	0.426	0.227	1.086	0.322	0.502	0.312	0.994	0.762		13.812	16.386					
S63ZP	23		UXCK		02/07/2017 19:27	236.414	17.99	35.13	0.517	30.64	0.523	11.014	0.385	0.516	0.565			0.508		67.84	0.458	49.355	0.477	19.533	0.256			0.359	0.171			23.971	16.988	34.373	36.683				0.435	0.429	0.226	1.048	0.291	0.502	0.305	0.967	0.727		13.898	16.443					
S63ZR	7		UXSN		09/07/2017 02:32	240.431	17.088	33.27	0.527	29.375	0.513	10.889	0.412	0.507	0.549	35.165		0.507	36.521							0.517	0.39	0.348	0.17			23.596	17.226	33.705	36.971				0.416	0.424	0.229	1.064	0.305	0.503	0.312	0.995			13.41	15.999					
S63ZR	12		UXSN		09/07/2017 02:40	227.45	16.624	34.145	0.513	31.61	0.506	11.046	0.403	0.515	0.561	35.431		0.498	36.821							0.517	0.392	0.338	0.166			23.978	16.784	34.388	37.07				0.414	0.427	0.233	1.081	0.295	0.501	0.317	0.996			13.386	16.047					
S63ZR	20		UXSN		09/07/2017 02:47	234.496	17.266	34.83	0.507	30.85	0.501	10.737	0.401	0.508	0.563	35.656		0.502	37.041							0.512	0.406	0.338	0.184			24.163	17.2	34.794	37.635				0.414	0.43	0.233	1.092	0.3	0.504	0.318	1.006			13.382	16.016					
S63ZR	22		UXSN		09/07/2017 02:55	239.481	16.56	33.01	0.523	29.555	0.513	10.978	0.411	0.519	0.564	35.472		0.498	36.783							0.518	0.397	0.345	0.182			23.79	16.845	34.286	37.537				0.411	0.435	0.231	1.073	0.302	0.502	0.322	1.006			13.437	15.996					
S63ZR	23		UXSN		09/07/2017 03:03	235.866	16.328	34.125	0.517	28.76	0.523	11.941	0.399	0.51	0.562	35.349		0.494	36.659							0.519	0.396	0.341	0.16			23.969	16.862	34.481	37.508				0.418	0.434	0.233	1.082	0.298	0.497	0.321	1.003			13.416	16.04					
S63ZT	12		UXAN		05/07/2017 00:28	200.967	15.49	31.425	0.516	27.46	0.515	8.668	0.455	0.514	0.56	35.381	0.448	0.518	36.939	56.2	0.482	44.47	0.493	16.716	0.345			0.391	0.208	1.92	0.604	23.756	16.614	32.546	35.736	776.126			0.445	0.42	0.211	1.036	0.324	0.505	0.305	0.966	0.768		13.389	16.058					
S63ZT	13		UXAN		05/07/2017 00:49	220.265	16.31	33.505	0.516	30.61	0.499	9.357	0.433	0.513	0.572	35.576	0.441	0.507	36.628	59.225	0.478	45.305	0.482	16.995	0.335			0.38	0.206	1.913	0.579	24.181	16.169	33.558	36.391	777.059			0.439	0.428	0.22	1.057	0.321	0.51	0.315	0.975	0.762		13.449	16.157					
S6405	8	UXU6		30/06/2017 08:44										0.516	0.56	36.126	0.455	0.529	40.185							0.495	0.382					24.301	19.606																13.486	16.286					
S6406	13	UXU6		16/07/2017 21:21										0.513	0.551	35.824	0.461	0.536	40.082							0.5	0.388					24.65	19.361																13.493	16.356					
S6406	17	UXU6		16/07/2017 21:46										0.523	0.551	36.268		0.531	40.706							0.484	0.37																						13.466	16.318					
S6408	6	UXU6		03/07/2017 06:29										0.516	0.557	35.926		0.534	40.715							0.494	0.4																						13.538	16.312					
S6408	8	UXU6		03/07/2017 06:54										0.522	0.563	36.509		0.529	41.004							0.494	0.402																						13.509	16.292					
S6408	9	UXU6		03/07/2017 07:20										0.501	0.544	35.648		0.541	40.27							0.487	0.391																						13.509	16.472					
S6408	13	UXU6		03/07/2017 08:43										0.5	0.546	35.854	0.461	0.532	40.419							0.474	0.402					24.733	20.138																13.471	16.412					
S6408	24	UXU6		03/07/2017 09:08										0.515	0.557	36.044		0.532	40.461							0.488	0.41																						13.556	16.34					
S642B	6		UXSN		17/07/2017 05:30	216.683	17.678	35.25	0.508	31.84	0.491	9.759	0.44	0.497	0.539	35.275		0.505	36.856							0.506	0.416	0.328	0.22			24.521	17.95	34.973	38.249				0.402	0.416	0.233	1.095	0.329	0.51	0.318	1.016			13.391	16.122					
S642B	10		UXSN		17/07/2017 05:38	235.457	17.058	34.175	0.514	30.18	0.511	9.957	0.426	0.499	0.546	35.613		0.502	36.882							0.509	0.427	0.332	0.235			24.664	18.466	34.786	38.157				0.419	0.417	0.228	1.094	0.334	0.503	0.311	1.017			13.367	16.063					
S642B	13		UXSN		17/07/2017 05:45	207.928	16.996	33.98	0.513	29.665	0.511	9.528	0.449	0.508	0.552	35.712		0.5	37.146							0.512	0.413	0.343	0.228			24.372	17.721	34.755	38.08				0.409	0.429	0.23	1.088	0.329	0.514	0.316	1.01			13.444	16.168					
S642B	14		UXSN		17/07/2017 05:53	225.237	17.212	34.935	0.515	30.42	0.505	10.219	0.424	0.504	0.55	35.373		0.502	37.053							0.507	0.423	0.332	0.205			24.307	17.467	34.543	37.739				0.408	0.43	0.229	1.083	0.325	0.52	0.317	1.007			13.429	16.093					
S642B	20		UXSN		17/07/2017 06:01	213.519	17.394	33.915	0.512	28.825	0.507	10.477	0.441	0.501	0.551	35.475		0.502	36.77							0.51	0.431	0.338	0.215			24.348	17.371	34.566	38.107				0.407	0.429	0.229	1.085	0.344	0.521	0.322	1.015			13.417	16.089					
S642C	12		UXAN		03/07/2017 03:23	225.79	15.952	32.415	0.527	28.41	0.514	8.984	0.441	0.513	0.559	35.561	0.441	0.51	36.772	54.425	0.497	42.19	0.508	16.816	0.324			0.377	0.196	1.924	0.576	24.28	16.697	33.819	36.426	772.392			0.444	0.429	0.219	1.058	0.309	0.499	0.309	0.977	0.759		13.519	16.18					
S642C	13		UXAN		03/07/2017 03:45	225.318	16.666	33.775	0.522	28.685	0.513	8.763	0.432	0.515	0.56	35.8	0.442	0.514	37.307	55.29	0.496	43.935	0.5	16.927	0.322			0.379	0.196	1.949	0.575	24.699	16.831	34.433	36.808	774.526			0.451	0.429	0.222	1.074	0.325	0.498	0.311	0.982	0.768		13.536	16.176					
S642G	4		UX73		04/07/2017 21:26	222.782	16.568	35.665	0.508	30.025	0.511	11.232	0.41	0.512	0.561	35.54		0.502	37.13	65.905	0.472	48.915	0.492	18.433	0.312			0.35	0.196	1.791	0.548	23.468	16.453	34.506	36.389		167.758	685.26	0.422	0.437	0.236	1.078	0.304	0.515	0.313	0.975	0.725	1.385	13.474	16.18	0.273	0.265	0.121	0.33	
S642G	7		UX73		04/07/2017 21:32	223.421	19	38.125	0.499	35.21	0.479	10.392	0.396	0.49	0.547	35.507		0.507	37.212	64.545	0.469	52.145	0.474	18.638	0.308			0.333	0.204	1.649	0.547	24.439	17.33	35.437	37.71		167.158	669.5	0.416	0.427	0.239	1.11	0.32	0.503	0.314	1.003	0.741	1.328	13.428	16.161	0.279	0.256	0.139	0.322	
S642G	12		UX73		04/07/2017 21:38	211.633	16.924	36.43	0.493	32.495	0.49	10.49	0.384	0.498	0.554	35.232		0.503	36.746	64.43	0.471	51.265	0.484	17.96	0.296			0.341	0.192	1.766	0.521	24.022	16.699	34.934	37.184		166.812	678.087	0.419	0.434	0.237	1.092	0.309	0.514	0.318	0.99	0.722	1.339	13.47	16.21	0.278	0.262	0.129	0.33	
S642G	14		UX73		04/07/2017 21:44	230.986	17.276	34.31	0.516	30.335	0.502	9.757	0.408	0.501	0.555	35.381		0.498	37.058	61.165	0.481	49.805	0.488	16.195	0.337			0.347	0.232	1.494	0.574	25.874	17.626	36.692	38.666		167.465	677.98	0.432	0.436	0.237	1.136	0.343	0.509	0.326	1.025	0.774	1.246	13.459	16.144	0.285	0.262	0.156	0.326	
S642G	20		UX73		04/07/2017 21:51	212.386	17.47	35.935	0.499	34.26	0.493	11.046	0.391	0.495	0.549	35.667		0.512	37.432	64.955	0.471	52.68	0.473	19.094	0.29			0.335	0.18	1.874	0.511	23.529	16.742	34.701	36.923		167.385	673.553	0.415	0.429	0.238	1.087	0.311	0.508	0.314	0.988	0.716	1.334	13.466	16.148	0.273	0.262	0.119	0.327	
S642H	4		UXIL		02/07/2017 09:22	193.24	22.098	42.38	0.489	36.775	0.487	9.928	0.448	0.507	0.561	36.646		0.505	38.153		0.484	54.54	0.478	16.14	0.373			0.296	0.17			23.281	17.723	34.949	37.211				0.384	0.428	0.255	1.146	0.281	0.511	0.319	1.039	0.664		12.753	15.338	0.234		0.103		
S642H	7		UXIL		02/07/2017 09:27	200.445	21.778	42.415	0.482	39.56	0.48	9.595	0.449	0.502	0.566	37.038		0.507	38.599		0.49	56.355	0.463	16.718	0.342			0.309	0.174			23.426	17.975	35.079	37.627				0.384	0.426	0.255	1.153	0.296	0.511	0.323	1.056	0.681		12.712	15.169	0.229		0.095		
S642H	14		UXIL		02/07/2017 09:32	159.58	25.832	49.635	0.438	42.145	0.435	9.793	0.47	0.518	0.563	36.635		0.494	38.299		0.438	62.87	0.43	16.435	0.355			0.274	0.195			23.623	18.091	35.392	37.765				0.353	0.392	0.259	1.189	0.311	0.499	0.327	1.072	0.668		12.263	14.924	0.201		0.115		
S642H	15		UXIL		02/07/2017 09:37	183.258	23.63	42.83	0.487	38.95	0.473	9.808	0.456	0.499	0.56	36.905		0.504	38.467		0.488	56.265	0.467	16.558	0.371			0.295	0.175			23.531	18.205	35.732	38.225				0.382	0.423	0.258	1.163	0.295	0.508	0.322	1.054	0.674		12.774	15.405	0.236		0.102		
S642H	25		UXIL		02/07/2017 09:42	197.28	23.544	45.295	0.475	39.11	0.487	10.185	0.454	0.513	0.562	36.88		0.5	38.282		0.464	57.825	0.466	18.074	0.36			0.286	0.17			23.523	17.935	34.876	37.366				0.377	0.416	0.255	1.152	0.302	0.507	0.32	1.05	0.68		12.666	15.138	0.229		0.11		
S6435	2	UXU6		22/07/2017 17:07										0.528	0.57	36.199		0.53	40.423							0.499	0.385																						13.344	16.118					
S6435	10	UXU6		22/07/2017 17:31										0.516		35.682			40.141							0.494	0.364																						13.355						
S6435	13	UXU6		22/07/2017 18:55										0.518	0.563	35.909	0.456	0.534	40.48							0.489	0.364					24.374	19.018																13.279	16.097					
S6435	16	UXU6		22/07/2017 19:19										0.508		35.308			39.535							0.489	0.375																						13.299						
S6435	18	UXU6		22/07/2017 19:42										0.503		35.512			39.908							0.485	0.363																						13.353						
S6445	13	UXU6		01/07/2017 21:45										0.525	0.549	36.084	0.469	0.539	40.28							0.494	0.404					25.06	20.306																13.334	16.082					
S6445	14	UXU6		01/07/2017 23:08										0.525	0.553	36.299	0.469	0.541	40.436							0.505	0.408					24.616	20.4																13.476	16.288					
S6445	15	UXU6		02/07/2017 00:33										0.525	0.552	36.76	0.474	0.543	40.952							0.498	0.407					24.945	20.019																13.452	16.27					
S6445	18	UXU6		02/07/2017 01:58										0.532	0.549	36.122	0.466	0.536	40.496							0.493	0.406					25.003	19.916																13.241	15.981					
S6445	20	UXU6		02/07/2017 02:25										0.52	0.552	35.81		0.54	40.254							0.497	0.418																						13.405	16.144					
S6446	1	UXU6		06/07/2017 22:48										0.5185	0.552	36.177		0.541	40.795							0.495	0.405																						13.355	16.118					
S6446	11	UXU6		06/07/2017 22:54										0.514																																									
S6446	13	UXU6		07/07/2017 00:19										0.513	0.548	36.348	0.464	0.537	40.465							0.495	0.405					25.407	20.686																13.356	16.19					
S6446	19	UXU6		07/07/2017 00:25										0.518																																									
S6446	24	UXU6		07/07/2017 00:31										0.523																																									
S6448	13	UXU6		05/07/2017 11:28										0.522	0.554	35.669	0.454	0.532	40.102							0.486	0.366					24.912	19.166																13.422	16.194					
S6448	18	UXU6		05/07/2017 11:54										0.522	0.556	35.903		0.538	40.596							0.492	0.386																						13.432	16.278					
S646B	12		UXAN		03/07/2017 19:32	212.532	16.648	33.525	0.511	29.45	0.504	9.52	0.428	0.505	0.563	35.87	0.445	0.508	37.154	58.935	0.487	44.52	0.49	17.719	0.324			0.366	0.232	1.587	0.595	24.436	17.124	34.191	36.503	774.126			0.434	0.425	0.222	1.07	0.339	0.506	0.307	0.982	0.77		13.483	16.071					
S646B	13		UXAN		03/07/2017 19:52	194.275	18.12	35.745	0.496	31.085	0.492	9.083	0.434	0.502	0.559	35.692	0.444	0.512	36.917	62.095	0.467	44.765	0.486	17.195	0.328			0.361	0.221	1.637	0.581	24.499	17.128	34.576	37.072	771.192			0.42	0.42	0.227	1.085	0.344	0.511	0.314	0.995	0.77		13.413	16.044					
S646P	3		UXIL		02/07/2017 06:19	189.98	22.232	43.725	0.472	37.335	0.484	10.114	0.442	0.517	0.56	37.095		0.488	37.993		0.467	56.75	0.452	16.867	0.354			0.308	0.211			24.911	19.388	36.332	38.711				0.388	0.425	0.253	1.186	0.322	0.51	0.315	1.07	0.713		12.666	15.32	0.236		0.144		
S646P	4		UXIL		02/07/2017 06:24	204.889	22.536	45.19	0.477	38.44	0.484	9.55	0.461	0.504	0.561	36.94		0.491	38.193		0.477	56.03	0.477	16.193	0.355			0.308	0.197			25.127	19.595	36.704	39.112				0.396	0.425	0.255	1.193	0.335	0.507	0.319	1.08	0.729		12.736	15.29	0.243		0.137		
S646P	18		UXIL		02/07/2017 06:29	189.282	20.696	41.145	0.475	36.75	0.483	9.167	0.479	0.507	0.559	36.858		0.497	37.942		0.486	55.455	0.476	16.879	0.372			0.294	0.185			25.036	19.128	36.458	39.128				0.395	0.43	0.25	1.186	0.322	0.513	0.324	1.083	0.71		12.68	15.263	0.242		0.127		
S646P	19		UXIL		02/07/2017 06:34	208.951	21.856	42.165	0.482	38.4	0.471	9.836	0.455	0.514	0.566	37.385		0.488	38.086		0.464	58.87	0.451	17.893	0.336			0.285	0.19			24.825	19.042	36.152	38.627				0.379	0.42	0.249	1.183	0.319	0.507	0.32	1.073	0.698		12.635	15.22	0.232		0.127		
S646P	21		UXIL		02/07/2017 06:39	199.647	21.006	43.74	0.469	38.54	0.476	9.079	0.462	0.493	0.559	36.981		0.506	38.093		0.473	54.98	0.474	17.705	0.337			0.297	0.188			24.907	18.817	36.182	38.839				0.382	0.424	0.253	1.183	0.315	0.517	0.325	1.08	0.703		12.704	15.21	0.238		0.122		
S648G	13	UXU6		08/07/2017 01:26										0.517	0.548	35.909	0.465	0.532	40.391							0.472	0.392					24.221	19.606																13.379	16.139					
S648G	14	UXU6		08/07/2017 01:53										0.512	0.55	35.807		0.53	40.282							0.491	0.391																						13.438	16.169					
S64AX	2		UXIL		01/07/2017 00:34	187.732	23.584	42.31	0.484	39.325	0.468	9.504	0.455	0.497	0.559	37.067		0.491	37.96		0.462	58.65	0.455	16.898	0.344			0.3	0.172			23.997	18.115	35.369	37.895				0.385	0.417	0.253	1.173	0.306	0.5	0.327	1.074	0.698		12.543	14.961	0.226		0.119		
S64AX	3		UXIL		01/07/2017 00:40	179.337	20.708	41.33	0.484	36.44	0.49	9.185	0.471	0.505	0.566	37		0.499	37.865		0.475	54.675	0.465	17.324	0.361			0.308	0.174			23.524	17.777	34.853	37.415				0.4	0.435	0.253	1.155	0.303	0.512	0.325	1.065	0.694		12.657	15.041	0.231		0.085		
S64AX	8		UXIL		01/07/2017 00:46	198.386	22.838	42.945	0.472	37.88	0.474	9.321	0.467	0.503	0.558	37.074		0.495	37.954		0.471	58.41	0.452	15.042	0.382			0.296	0.168			23.725	18.054	35.034	37.774				0.379	0.424	0.253	1.157	0.308	0.511	0.324	1.067	0.682		12.662	15.049	0.229		0.112		
S64AX	14		UXIL		01/07/2017 00:52	207.772	20.938	39.83	0.493	37.94	0.47	9.409	0.455	0.507	0.565	37.759		0.501	38.612		0.472	52.475	0.482	17.941	0.345			0.308	0.186			24.261	18.406	34.999	37.886				0.397	0.426	0.245	1.158	0.317	0.517	0.321	1.065	0.713		12.604	15.107	0.246		0.117		
S64AX	15		UXIL		01/07/2017 00:57	205.586	20.238	40.73	0.492	37.835	0.487	9.472	0.448	0.499	0.556	36.716		0.498	37.691		0.484	54.51	0.479	16.388	0.357			0.306	0.188			23.517	17.993	34.652	37.306				0.395	0.432	0.249	1.145	0.306	0.514	0.319	1.051	0.701		12.629	15.123	0.24		0.12		
S64AX	23		UXIL		01/07/2017 01:04	189.644	20.992	41.17	0.483	36.01	0.473	9.045	0.464	0.502	0.557	37.122		0.499	37.991		0.464	55.48	0.466	17.82	0.356			0.305	0.2			24.429	18.181	35.543	37.989				0.386	0.427	0.245	1.166	0.312	0.517	0.325	1.068	0.706		12.663	15.081	0.24		0.127		
S64AX	25		UXIL		01/07/2017 01:10	207.354	22.376	40.98	0.48	38.215	0.48	9.35	0.456	0.508	0.558	36.979		0.488	37.932		0.473	55.16	0.46	16.589	0.356			0.298	0.195			24.423	18.142	35.488	37.863				0.391	0.427	0.247	1.161	0.316	0.5	0.323	1.061	0.696		12.672	15.081	0.237		0.107		
S64AY	16		UXIL		14/07/2017 12:33	206.905	22.522	43.035	0.483	37.57	0.467	8.792	0.47	0.494	0.546	36.821		0.509	38.011		0.479	53.785	0.475	18.022	0.337			0.298	0.16			24.384	19.139	35.856	38.231				0.382	0.415	0.251	1.172	0.292	0.507	0.316	1.064	0.671		12.661	15.231	0.237		0.069		
S64AY	17		UXIL		14/07/2017 12:38	205.848	20.26	40.33	0.49	38	0.472	9.578	0.438	0.499	0.546	36.989		0.503	38.237		0.492	52.18	0.476	17.599	0.336			0.306	0.149			23.591	18.708	35.01	37.819				0.39	0.414	0.247	1.15	0.279	0.501	0.315	1.059	0.676		12.714	15.221	0.244		0.071		
S64AY	20		UXIL		14/07/2017 12:43	211.895	22.076	41.255	0.494	36.34	0.495	9.409	0.443	0.494	0.547	37.162		0.507	38.213		0.493	52.965	0.479	17.12	0.362			0.302	0.162			25.188	19.775	36.573	39.157				0.392	0.416	0.25	1.189	0.291	0.505	0.317	1.082	0.683		12.709	15.265	0.249		0.099		
S64AY	21		UXIL		14/07/2017 12:48	207.409	21.97	40.845	0.491	34.69	0.496	9.341	0.462	0.491	0.547	37.241		0.511	38.233		0.485	53.05	0.487	16.882	0.361			0.309	0.167			24.326	19.086	35.631	38.099				0.404	0.42	0.249	1.162	0.291	0.511	0.314	1.059	0.687		12.785	15.291	0.252		0.093		
S64AY	22		UXIL		14/07/2017 12:53	210.435	20.988	41.275	0.473	37.075	0.475	8.659	0.462	0.502	0.549	37.103		0.506	38.163		0.493	52.115	0.48	17.577	0.357			0.31	0.177			24.89	19.431	36	38.509				0.39	0.416	0.243	1.174	0.307	0.504	0.313	1.072	0.703		12.714	15.184	0.252		0.113		
S64BF	2	UXU6		22/07/2017 17:38										0.519		36.15			40.54							0.484	0.378																						13.469						
S64BF	13	UXU6		22/07/2017 19:02										0.511	0.557	2.136	0.459	0.53	1.944							0.49	0.376					1.378	147.025																0.549	28.73					
S64BF	16	UXU6		22/07/2017 19:27										0.524	0.568	36.469		0.53	41.11							0.49	0.399																						13.488	0.526					
S64BF	21	UXU6		22/07/2017 19:52										0.527		36.638			41.167							0.507	0.387																						13.511						
S64BF	23	UXU6		22/07/2017 20:16										0.526		36.521			41.187							0.511	0.379																						13.545						
S64C7	4		UXCK		27/06/2017 05:00	223.509	17.63	36.61	0.508	32.255	0.501	12.097	0.387	0.502	0.565			0.497		65.445	0.466	51.415	0.473	21.925	0.244			0.371	0.163			24.367	17.405	34.63	37.282				0.454	0.427	0.224	1.066	0.281	0.491	0.307	0.983	0.738		13.739	16.378					
S64C7	8		UXCK		27/06/2017 05:08	226.49	19.186	38.015	0.509	33.985	0.501	12.897	0.355	0.503	0.558			0.513		68.87	0.462	53.015	0.473	22.137	0.257			0.364	0.17			24.535	17.752	34.937	37.522				0.44	0.431	0.23	1.072	0.293	0.496	0.306	0.989	0.733		13.78	16.363					
S64C7	13		UXCK		27/06/2017 05:25	220.147	19.388	38.29	0.509	34.49	0.494	12.563	0.363	0.506	0.566	36.635	0.434	0.494	37.545	68.92	0.448	53.07	0.473	22.262	0.25			0.354	0.164					35.153	37.555	772.926			0.434	0.426	0.231	1.079	0.284	0.492	0.312	0.982	0.723		13.736	16.465					0.834
S64C7	20		UXCK		27/06/2017 05:32	220.798	19.388	39.705	0.495	34.7	0.499	12.488	0.377	0.503	0.56			0.499		70.83	0.456	55.845	0.461	21.735	0.256			0.356	0.159			24.691	17.715	35.425	37.644				0.435	0.43	0.231	1.086	0.288	0.489	0.31	0.994	0.731		13.734	16.34					
S64C7	22		UXCK		27/06/2017 05:39	239.971	17.81	39.89	0.492	34.265	0.495	12.481	0.364	0.511	0.56			0.496		68.275	0.461	54.31	0.464	21.704	0.257			0.36	0.164			24.299	17.237	34.833	37.191				0.434	0.433	0.23	1.068	0.287	0.496	0.307	0.975	0.718		13.788	16.56					
S64C7	25		UXCK		27/06/2017 05:45	236.412	17.488	38.09	0.5	31.175	0.505	12.457	0.371	0.491	0.554			0.504		66.59	0.455	52.88	0.454	21.858	0.272			0.354	0.179			24.179	17.56	34.416	37.34				0.432	0.428	0.223	1.054	0.305	0.506	0.305	0.976	0.748		13.863	16.551					
S64C8	11		UXIL		09/07/2017 03:48	195.967	23.56	44.74	0.477	38.57	0.478	11.051	0.413	0.491	0.559	36.344		0.506	37.794		0.472	54.71	0.465	17.784	0.346			0.299	0.15			23.692	17.933	35.337	37.724				0.38	0.419	0.253	1.157	0.292	0.511	0.324	1.055	0.672		12.689	15.177	0.245		0.092		
S64C8	14		UXIL		09/07/2017 03:52	199.37	24.146	42.305	0.479	39.995	0.472	10.337	0.45	0.507	0.568	36.928		0.507	38.08		0.472	55.28	0.477	18.802	0.338			0.301	0.157			23.922	18.062	35.377	37.727				0.394	0.427	0.249	1.159	0.298	0.511	0.321	1.051	0.692		12.689	15.205	0.249		0.087		
