LOTID5	WAFER_ID	PROCESS_ID_LE522600_PROCESS_ID_MAX	ET_TIME_LE522600_TKOUT_TIME_MAX	D120_M1_1b_lat_100BCR	D120_M1_1b_lat_100IRD_L	D120_M1_4b_ult_PD_Vtsat	D120_M1_4b_ult_PG_Vtsat	D120_M1_4b_ult_PU_Idsat	D120_M1_4b_ult_PU_Vtsat	EGN_2/0.15_Vtsat	EGN_2/2_Vtlin	EGN_Cov	EGP_2/0.15_Vtsat	EGP_2/2_Vtlin	EGP_Cov	LVTN_0.21/0.03x7_Vtsat	LVTP_0.3/0.03x5_Vtsat	Lpoly_RVTN	Lpoly_RVTP	NW_Res_10x30	RVTN_0.21/0.03x7_Vtsat	RVTN_1/1_Vtlin	RVTN_Cov	RVTN_Covdd	RVTP_0.3/0.03x5_Vtsat	RVTP_1/1_Vtlin	RVTP_Cov	RVTP_Covdd	RVT_Vt_Sum	SGN_Tox_inv	SGP_Tox_inv	VPNP_Beta	date	month	date_lot
S661P	7	UXTN	01/07/2017 03:46			512.551	506.711	8.663	437.599							0.372	0.207	33.956	36.381		0.443	0.433	0.224	1.068	0.327	0.512	0.313	0.976		13.457	16.132		1	7	7/01_S661P
S661P	11	UXTN	01/07/2017 04:01			508.22	514.903	8.758	434.482							0.387	0.198	32.109	35.56		0.462	0.433	0.213	1.018	0.307	0.514	0.305	0.954		13.457	16.22		1	7	7/01_S661P
S661P	13	UXTN	01/07/2017 05:05	201.608	15.134	514.879	503.087	8.227	450.78							0.375	0.187	33.023	35.524	763.326	0.446	0.436	0.221	1.043	0.315	0.507	0.307	0.954	0.756	13.477	16.263	0.822	1	7	7/01_S661P
S661P	22	UXTN	01/07/2017 05:19			516.18	498.737	8.556	444.903							0.379	0.204	33.592	36.238		0.446	0.433	0.22	1.056	0.319	0.509	0.311	0.974		13.463	16.117		1	7	7/01_S661P
SZ8AW	6	UXTD	01/07/2017 17:40			478.008	463.601	9.983	422.824	0.508	0.579	0.208	0.25	0.516	0.532	0.328	0.184	32.655	34.998		0.393	0.408	0.232	1.03	0.315	0.51	0.293	0.945		13.528	16.167		1	7	7/01_SZ8AW
SZ8AW	7	UXTD	01/07/2017 17:58			478.254	464.689	10.072	421.8	0.509	0.578	0.208	0.241	0.522	0.532	0.325	0.174	32.523	34.711		0.396	0.409	0.232	1.027	0.299	0.511	0.295	0.938		13.487	16.158		1	7	7/01_SZ8AW
SZ8AW	9	UXTD	01/07/2017 18:14			471.958	473.941	10.297	422.652	0.503	0.569	0.209	0.249	0.515	0.534	0.327	0.19	32.444	34.985		0.396	0.407	0.23	1.029	0.299	0.506	0.293	0.943		13.509	16.192		1	7	7/01_SZ8AW
SZ8AW	11	UXTD	01/07/2017 19:14	186.096	20.396	466.271	464.31	9.562	440.178	0.5	0.575	0.21	0.241	0.521	0.537	0.309	0.179	32.643	34.995	787.725	0.398	0.408	0.235	1.031	0.296	0.511	0.296	0.942	0.692	13.502	16.206	0.856	1	7	7/01_SZ8AW
SZ8AW	13	UXTD	01/07/2017 20:15	178.278	19.918	467.925	463.127	9.833	425.576	0.498	0.577	0.21	0.247	0.524	0.535	0.322	0.181	32.556	35.134	786.525	0.392	0.408	0.233	1.032	0.296	0.509	0.297	0.949	0.684	13.437	16.152	0.863	1	7	7/01_SZ8AW
SZ8AW	14	UXTD	01/07/2017 20:32			478.847	459.459	10.054	403.129	0.496	0.573	0.212	0.242	0.521	0.544	0.313	0.179	32.597	35.183		0.388	0.404	0.234	1.033	0.296	0.509	0.3	0.951		13.453	16.128		1	7	7/01_SZ8AW
S5ZXP	5	UXTD	02/07/2017 14:21			474.196	477.167	10.116	420.751	0.519	0.582	0.207	0.241	0.506	0.535	0.351	0.226	33.095	36.025		0.414	0.413	0.224	1.047	0.338	0.521	0.299	0.97		13.442	16.135		2	7	7/02_S5ZXP
S5ZXP	7	UXTD	02/07/2017 14:39			485.156	478.985	9.523	429.083	0.529	0.59	0.205	0.241	0.512	0.538	0.352	0.224	32.282	35.408		0.426	0.415	0.219	1.026	0.336	0.519	0.295	0.954		13.453	16.157		2	7	7/02_S5ZXP
S5ZXP	8	UXTD	02/07/2017 14:55			496.776	475.548	9.965	431.075	0.515	0.577	0.206	0.251	0.519	0.534	0.367	0.236	32.777	36.083		0.424	0.409	0.22	1.039	0.346	0.516	0.297	0.968		13.42	16.112		2	7	7/02_S5ZXP
S5ZXP	10	UXTD	02/07/2017 15:13			492.879	479.809	10.207	418.308	0.514	0.579	0.206	0.244	0.513	0.531	0.362	0.22	32.422	35.568		0.432	0.415	0.218	1.027	0.324	0.513	0.292	0.957		13.444	16.138		2	7	7/02_S5ZXP
S5ZXP	11	UXTD	02/07/2017 15:31			487.687	464.042	10.916	414.406	0.512	0.575	0.206	0.243	0.513	0.535	0.359	0.218	32.13	35.3		0.423	0.41	0.217	1.025	0.324	0.513	0.292	0.956		13.372	16.058		2	7	7/02_S5ZXP
S5ZXP	12	UXTD	02/07/2017 16:46	187.11	16.612	493.091	483.734	9.7425	429.7725	0.514	0.575	0.208	0.251	0.502	0.53	0.361	0.227	32.8	35.608	772.926	0.431	0.415	0.221	1.036	0.334	0.5055	0.295	0.959	0.759	13.449	16.092	0.825	2	7	7/02_S5ZXP
S5ZXP	13	UXTD	02/07/2017 17:48	198.19	16.881	491.284	489.323	10.402	415.603	0.525	0.586	0.206	0.25	0.509	0.533	0.356	0.217	32.248	35.559	772.126	0.428	0.416	0.219	1.026	0.346	0.517	0.297	0.956	0.767	13.417	16.148	0.823	2	7	7/02_S5ZXP
S5ZXP	15	UXTD	02/07/2017 18:05			492.1	479.637	10.249	402.994	0.511	0.575	0.208	0.246	0.512	0.539	0.347	0.226	32.569	36.133		0.417	0.408	0.221	1.038	0.328	0.517	0.298	0.97		13.425	16.118		2	7	7/02_S5ZXP
S5ZXP	18	UXTD	02/07/2017 18:22			498.691	483.354	10.165	417.528	0.525	0.587	0.207	0.258	0.511	0.533	0.359	0.224	32.748	35.885		0.432	0.418	0.219	1.036	0.339	0.522	0.298	0.964		13.48	16.14		2	7	7/02_S5ZXP
S5ZXP	19	UXTD	02/07/2017 18:40			493.66	482.032	10.994	401.722	0.518	0.577	0.208	0.251	0.516	0.536	0.363	0.228	32.606	35.904		0.429	0.414	0.218	1.036	0.338	0.512	0.293	0.969		13.455	16.12		2	7	7/02_S5ZXP
S5ZZT	13	UXTD	02/07/2017 00:18	206.601	14.38	520.007	504.206	9.194	426.233	0.519	0.578	0.204	0.259	0.514	0.536	0.387	0.238	33.182	36.939	793.192	0.448	0.424	0.214	1.046	0.338	0.513	0.302	0.984	0.788	13.514	16.223	0.849	2	7	7/02_S5ZZT
S5ZZT	15	UXTD	02/07/2017 00:35			507.477	507.11	8.399	446.636	0.504	0.577	0.204	0.261	0.514	0.537	0.383	0.242	33.109	36.117		0.454	0.429	0.215	1.039	0.341	0.515	0.297	0.966		13.569	16.23		2	7	7/02_S5ZZT
S5ZZT	16	UXTD	02/07/2017 00:52			508.162	493.467	8.716	448.116	0.512	0.581	0.205	0.263	0.512	0.53	0.384	0.246	33.394	36.512		0.451	0.419	0.214	1.051	0.353	0.507	0.296	0.976		13.502	16.199		2	7	7/02_S5ZZT
S60YG	1	UXTD	02/07/2017 10:56			492.1	489.58	9.169	432.631	0.51	0.581	0.207	0.245	0.499	0.526	0.368	0.224	33.07	36.175		0.431	0.421	0.22	1.042	0.326	0.517	0.303	0.969		13.514	16.191		2	7	7/02_S60YG
S60YG	10	UXTD	02/07/2017 11:13			486.141	479.318	9.634	448.714	0.499	0.575	0.209	0.254	0.504	0.523	0.361	0.204	33.229	36.283		0.424	0.414	0.222	1.05	0.306	0.501	0.299	0.971		13.47	16.17		2	7	7/02_S60YG
S60YG	12	UXTD	02/07/2017 12:15	178.129	18.751	485.68	478.557	9.453	440.167	0.505	0.58	0.209	0.245	0.493	0.521	0.35	0.213	32.767	35.527	782.392	0.423	0.418	0.223	1.033	0.312	0.509	0.3	0.952	0.735	13.496	16.236	0.843	2	7	7/02_S60YG
S60YG	13	UXTD	02/07/2017 13:13	184.022	18.413	500	494.231	9.657	432.908	0.504	0.578	0.209	0.252	0.509	0.519	0.369	0.208	32.989	36.155	777.992	0.432	0.417	0.22	1.039	0.325	0.51	0.296	0.968	0.751	13.494	16.198	0.854	2	7	7/02_S60YG
S60YG	15	UXTD	02/07/2017 13:30			485.045	476.843	9.922	436.169	0.498	0.568	0.211	0.251	0.51	0.529	0.353	0.207	33.097	35.843		0.429	0.413	0.224	1.042	0.316	0.512	0.298	0.957		13.527	16.286		2	7	7/02_S60YG
S60YG	18	UXTD	02/07/2017 13:48			486.656	488.325	9.793	418.1	0.503	0.572	0.208	0.248	0.504	0.526	0.371	0.214	32.804	35.846		0.438	0.419	0.22	1.037	0.322	0.505	0.297	0.96		13.503	16.224		2	7	7/02_S60YG
S60YG	21	UXTD	02/07/2017 14:03			487.993	486.349	9.565	413.078	0.496	0.564	0.21	0.253	0.503	0.522	0.35	0.21	32.268	35.458		0.428	0.415	0.218	1.02	0.317	0.508	0.295	0.951		13.533	16.252		2	7	7/02_S60YG
S630Y	4	UXTD	02/07/2017 23:10			471.711	470.689	10.672	418.177	0.504	0.575	0.207	0.247	0.51	0.528	0.339	0.228	32.83	36.277		0.418	0.412	0.22	1.041	0.338	0.508	0.299	0.976		13.387	16.094		2	7	7/02_S630Y
S6396	3	UXTD	02/07/2017 06:23			488.336	478.281	8.969	447.068	0.523	0.584	0.207	0.261	0.515	0.525	0.359	0.245	33.246	36.462		0.425	0.414	0.223	1.053	0.346	0.523	0.304	0.975		13.392	16.215		2	7	7/02_S6396
S6396	8	UXTD	02/07/2017 06:41			468.817	482.275	9.707	434.761	0.524	0.595	0.208	0.257	0.523	0.533	0.362	0.235	33.203	36.083		0.425	0.42	0.222	1.049	0.335	0.53	0.307	0.974		13.417	16.06		2	7	7/02_S6396
S6396	12	UXTD	02/07/2017 07:41	172.885	18.037	493.065	474.639	8.813	447.718	0.511	0.582	0.207	0.258	0.516	0.529	0.359	0.241	33.102	36.137	779.059	0.423	0.422	0.225	1.047	0.342	0.522	0.306	0.968	0.767	13.491	16.235	0.824	2	7	7/02_S6396
S6396	13	UXTD	02/07/2017 08:41	191.888	18.631	487.909	477.411	9.512	440.781	0.528	0.594	0.206	0.254	0.52	0.524	0.362	0.231	33.172	36.358	774.659	0.437	0.424	0.22	1.046	0.343	0.523	0.307	0.972	0.784	13.487	16.195	0.832	2	7	7/02_S6396
S6396	17	UXTD	02/07/2017 08:58			472.043	461.324	9.84	431.883	0.508	0.582	0.209	0.252	0.515	0.533	0.349	0.221	32.917	35.946		0.419	0.417	0.225	1.045	0.338	0.524	0.307	0.97		13.409	16.098		2	7	7/02_S6396
S6396	19	UXTD	02/07/2017 09:16			484.3	464.91	8.557	464.228	0.518	0.589	0.209	0.251	0.516	0.535	0.353	0.23	33.505	36.48		0.42	0.421	0.228	1.058	0.341	0.524	0.311	0.982		13.409	16.08		2	7	7/02_S6396
S6396	21	UXTD	02/07/2017 09:32			482.921	481.089	8.971	456.82	0.515	0.585	0.208	0.244	0.517	0.534	0.364	0.218	32.9	36.181		0.428	0.422	0.221	1.044	0.333	0.523	0.309	0.972		13.404	16.171		2	7	7/02_S6396
S63AU	6	UXTD	02/07/2017 15:18			487.548	487.495	9.826	435.615	0.514	0.587	0.205	0.246	0.503	0.53	0.374	0.228	32.762	35.916		0.441	0.421	0.214	1.039	0.339	0.506	0.296	0.966		13.423	16.137		2	7	7/02_S63AU
S63AU	8	UXTD	02/07/2017 15:35			481.139	484.115	9.945	431.27	0.521	0.587	0.207	0.245	0.504	0.528	0.371	0.229	33.64	36.074		0.438	0.422	0.223	1.057	0.344	0.508	0.296	0.964		13.445	16.192		2	7	7/02_S63AU
S63AU	11	UXTD	02/07/2017 15:51			476.5	480.026	9.953	429.072	0.509	0.584	0.206	0.254	0.503	0.537	0.367	0.241	33.713	36.656		0.438	0.422	0.219	1.063	0.346	0.499	0.299	0.98		13.409	16.164		2	7	7/02_S63AU
S63AU	12	UXTD	02/07/2017 16:51	180.457	19.565	475.7	480.311	9.849	441.759	0.517	0.589	0.207	0.26	0.51	0.526	0.363	0.242	34.111	36.873	790.525	0.426	0.413	0.22	1.079	0.344	0.504	0.299	0.986	0.773	13.348	16.143	0.836	2	7	7/02_S63AU
S63AU	13	UXTD	02/07/2017 17:52	193.98	18.936	471.449	473.99	10.413	419.908	0.509	0.585	0.209	0.246	0.504	0.53	0.35	0.224	33.369	35.853	792.125	0.425	0.418	0.223	1.054	0.332	0.506	0.298	0.962	0.75	13.427	16.124	0.838	2	7	7/02_S63AU
S63AU	17	UXTD	02/07/2017 18:10			480.364	468.398	9.996	430.948	0.514	0.584	0.208	0.265	0.51	0.532	0.361	0.23	33.619	36.096		0.424	0.416	0.221	1.06	0.344	0.5	0.296	0.967		13.434	16.176		2	7	7/02_S63AU
S63AU	22	UXTD	02/07/2017 18:26			468.7	474.821	9.413	434.572	0.519	0.586	0.207	0.252	0.504	0.53	0.359	0.24	33.63	35.817		0.431	0.419	0.224	1.059	0.342	0.502	0.297	0.958		13.425	16.188		2	7	7/02_S63AU
S63ZY	4	UXTD	02/07/2017 13:01			482.471	482.112	9.431	430.901	0.519	0.594	0.206	0.256	0.508	0.535	0.362	0.241	33.284	36.322		0.429	0.421	0.223	1.049	0.344	0.515	0.302	0.968		13.473	16.25		2	7	7/02_S63ZY
S63ZY	10	UXTD	02/07/2017 13:19			492.571	478.013	9.954	439.647	0.515	0.58	0.206	0.262	0.518	0.534	0.369	0.226	32.784	36.063		0.433	0.422	0.22	1.036	0.339	0.512	0.295	0.963		13.508	16.241		2	7	7/02_S63ZY
S63ZY	12	UXTD	02/07/2017 14:22	179.562	17.863	471.538	460.086	9.201	440.424	0.512	0.588	0.209	0.26	0.518	0.535	0.348	0.224	33.5	36.535	771.459	0.412	0.415	0.226	1.055	0.343	0.524	0.305	0.975	0.76	13.477	16.221	0.863	2	7	7/02_S63ZY
S63ZY	13	UXTD	02/07/2017 15:23	190.149	17.134	484.92	484.943	9.257	439.889	0.516	0.581	0.206	0.255	0.515	0.534	0.367	0.229	32.916	36.012	791.592	0.44	0.419	0.219	1.038	0.342	0.509	0.295	0.961	0.777	13.48	16.248	0.859	2	7	7/02_S63ZY
S63ZY	16	UXTD	02/07/2017 15:42			475.736	465.775	8.897	465.712	0.52	0.588	0.206	0.26	0.52	0.538	0.357	0.233	32.669	35.702		0.418	0.424	0.221	1.031	0.336	0.525	0.298	0.956		13.526	16.225		2	7	7/02_S63ZY
S63ZY	17	UXTD	02/07/2017 16:01			487.547	470.861	8.705	460.523	0.52	0.587	0.207	0.257	0.515	0.54	0.361	0.234	33.238	36.123		0.43	0.424	0.224	1.05	0.345	0.52	0.304	0.969		13.481	16.193		2	7	7/02_S63ZY
S63ZY	22	UXTD	02/07/2017 16:18			492.873	478.327	8.544	438.333	0.505	0.586	0.207	0.259	0.51	0.535	0.357	0.229	32.381	35.486		0.435	0.427	0.219	1.024	0.341	0.521	0.299	0.951		13.529	16.26		2	7	7/02_S63ZY
S63ZZ	1	UXTD	02/07/2017 14:00			491.064	469.732	9.309	436.17	0.523	0.592	0.207	0.255	0.511	0.53	0.364	0.225	33.478	36.02		0.427	0.411	0.224	1.057	0.34	0.513	0.3	0.973		13.433	16.013		2	7	7/02_S63ZZ
S63ZZ	3	UXTD	02/07/2017 14:18			477.95	476.905	8.64	457.761	0.505	0.578	0.206	0.268	0.516	0.537	0.369	0.248	33.705	36.427		0.428	0.41	0.22	1.064	0.369	0.522	0.302	0.983		13.416	15.986		2	7	7/02_S63ZZ
S63ZZ	10	UXTD	02/07/2017 14:35			485.13	463.833	9.05	445.3	0.515	0.585	0.209	0.247	0.509	0.534	0.353	0.229	34.037	36.442		0.423	0.408	0.227	1.073	0.339	0.512	0.307	0.987		13.381	15.924		2	7	7/02_S63ZZ
S63ZZ	12	UXTD	02/07/2017 15:37	182.632	18.15	476.172	473.749	8.371	460.9	0.516	0.584	0.209	0.252	0.515	0.539	0.355	0.244	33.695	36.226	793.059	0.422	0.408	0.224	1.06	0.353	0.519	0.304	0.98	0.775	13.451	16	0.866	2	7	7/02_S63ZZ
S63ZZ	13	UXTD	02/07/2017 16:39	186.149	19.549	483.708	473.483	8.695	456.469	0.503	0.579	0.21	0.252	0.51	0.532	0.358	0.227	33.757	36.578	791.592	0.427	0.409	0.225	1.065	0.342	0.517	0.303	0.982	0.772	13.414	16.086	0.847	2	7	7/02_S63ZZ
S63ZZ	20	UXTD	02/07/2017 16:56			467.342	454.699	8.742	453.1	0.513	0.579	0.21	0.247	0.506	0.534	0.344	0.236	34.099	36.258		0.415	0.405	0.226	1.072	0.354	0.515	0.302	0.981		13.426	15.963		2	7	7/02_S63ZZ
S63ZZ	24	UXTD	02/07/2017 17:12			474.034	476.5	9.477	451.294	0.518	0.581	0.209	0.267	0.522	0.533	0.348	0.246	34.184	36.91		0.417	0.405	0.225	1.078	0.351	0.527	0.307	0.995		13.377	15.96		2	7	7/02_S63ZZ
S630Y	12	UXTD	03/07/2017 00:10	183.06	18.243	473.701	469.878	10.261	429.6	0.487	0.564	0.208	0.248	0.513	0.526	0.343	0.22	32.696	35.95	782.926	0.418	0.414	0.219	1.036	0.327	0.513	0.297	0.961	0.744	13.429	16.269	0.852	3	7	7/03_S630Y
S630Y	13	UXTD	03/07/2017 01:11	200.911	17.961	481.36	468.808	8.6	466.217	0.51	0.583	0.209	0.243	0.501	0.532	0.338	0.237	33.307	36.423	784.125	0.412	0.42	0.222	1.055	0.338	0.518	0.309	0.981	0.747	13.339	16.059	0.855	3	7	7/03_S630Y
S630Y	15	UXTD	03/07/2017 01:27			487.735	484.717	9.294	439.322	0.503	0.575	0.207	0.259	0.515	0.529	0.349	0.234	33.177	36.659		0.423	0.415	0.22	1.049	0.335	0.514	0.302	0.983		13.431	16.1		3	7	7/03_S630Y
S630Y	20	UXTD	03/07/2017 01:45			466.053	461.412	9.555	442.193	0.504	0.575	0.21	0.248	0.511	0.526	0.335	0.239	33.282	36.64		0.4	0.413	0.223	1.052	0.334	0.513	0.303	0.983		13.437	16.097		3	7	7/03_S630Y
S630Y	22	UXTD	03/07/2017 02:03			478.778	471.713	9.95	427.106	0.499	0.572	0.208	0.258	0.52	0.528	0.344	0.224	32.755	36.405		0.408	0.412	0.22	1.039	0.339	0.519	0.302	0.974		13.444	16.201		3	7	7/03_S630Y
S630Y	23	UXTD	03/07/2017 02:19			458.572	453.1	10.485	434.038	0.5	0.574	0.21	0.251	0.512	0.53	0.337	0.223	32.774	36.021		0.395	0.409	0.222	1.039	0.335	0.513	0.303	0.968		13.382	16.104		3	7	7/03_S630Y
S636N	4	UXTD	03/07/2017 10:33			496.586	481.825	8.857	441.444	0.506	0.576	0.205	0.258	0.514	0.524	0.374	0.237	32.211	35.819		0.446	0.415	0.212	1.025	0.343	0.519	0.298	0.967		13.445	16.049		3	7	7/03_S636N
S636N	5	UXTD	03/07/2017 10:51			491.846	491.169	8.582	455.082	0.507	0.579	0.208	0.247	0.51	0.526	0.372	0.233	32.531	35.401		0.441	0.417	0.217	1.036	0.345	0.516	0.295	0.958		13.408	16.098		3	7	7/03_S636N
S636N	6	UXTD	03/07/2017 11:07			488.048	474.23	8.644	462.432	0.51	0.579	0.208	0.254	0.516	0.529	0.368	0.237	33.043	36.143		0.437	0.413	0.219	1.046	0.348	0.529	0.3	0.971		13.419	16.114		3	7	7/03_S636N
S636N	7	UXTD	03/07/2017 11:25			489.518	480.804	8.547	458.594	0.519	0.587	0.207	0.244	0.508	0.525	0.368	0.237	32.573	35.687		0.432	0.415	0.217	1.034	0.352	0.52	0.299	0.962		13.429	16.101		3	7	7/03_S636N
S636N	8	UXTD	03/07/2017 11:43			485.851	482.25	8.578	430.067	0.513	0.58	0.207	0.252	0.518	0.53	0.369	0.245	33.306	36.284		0.441	0.416	0.219	1.053	0.346	0.522	0.301	0.976		13.397	16.089		3	7	7/03_S636N
S636N	12	UXTD	03/07/2017 12:44	212.335	17.073	492.1	489.296	8.859	447.635	0.51	0.575	0.208	0.25	0.517	0.532	0.373	0.23	32.896	35.685	794.259	0.43	0.419	0.22	1.044	0.345	0.52	0.299	0.965	0.78	13.463	16.119	0.841	3	7	7/03_S636N
S636N	13	UXTD	03/07/2017 13:46	177.671	18.902	482.382	483.961	9.936	447.885	0.508	0.591	0.209	0.241	0.509	0.529	0.365	0.238	32.473	35.79	795.059	0.431	0.411	0.219	1.034	0.347	0.524	0.3	0.969	0.788	13.393	16.049	0.848	3	7	7/03_S636N
S636N	14	UXTD	03/07/2017 14:48	192.48	18.295	492.537	479.645	10.233	420.303	0.52	0.585	0.208	0.244	0.514	0.53	0.365	0.243	32.845	36.067	796.125	0.436	0.418	0.219	1.042	0.349	0.531	0.304	0.973	0.783	13.445	16.076	0.851	3	7	7/03_S636N
S636N	15	UXTD	03/07/2017 15:49	199.442	15.926	498.023	488.762	8.891	442.834	0.528	0.593	0.206	0.246	0.512	0.526	0.382	0.239	32.065	35.45	794.792	0.441	0.421	0.214	1.021	0.358	0.523	0.3	0.957	0.796	13.408	16.126	0.846	3	7	7/03_S636N
S636N	16	UXTD	03/07/2017 16:50	215.611	15.698	499.082	480.051	9.106	449.648	0.527	0.585	0.206	0.245	0.512	0.52	0.376	0.242	32.677	35.76	793.859	0.441	0.418	0.215	1.034	0.349	0.519	0.294	0.963	0.785	13.448	16.108	0.856	3	7	7/03_S636N
S636N	17	UXTD	03/07/2017 17:52	203.963	16.87	502.32	496.844	9.099	433.189	0.533	0.604	0.206	0.245	0.509	0.529	0.377	0.254	32.987	35.891	793.725	0.446	0.422	0.217	1.046	0.352	0.518	0.295	0.968	0.804	13.428	16.089	0.854	3	7	7/03_S636N
S63AW	2	UXTD	03/07/2017 23:46			471.454	468.238	10.167	419.415	0.511	0.587	0.209	0.238	0.512	0.542	0.35	0.212	32.735	35.727		0.419	0.415	0.221	1.039	0.33	0.525	0.304	0.963		13.4	16.119		3	7	7/03_S63AW
S63F2	7	UXTD	03/07/2017 22:56			494.313	476.889	9.268	446.403	0.505	0.581	0.207	0.26	0.529	0.529	0.378	0.236	33.969	37.002		0.443	0.419	0.219	1.066	0.36	0.522	0.297	0.984		13.514	16.2		3	7	7/03_S63F2
S63F2	11	UXTD	03/07/2017 23:24			478.216	474.356	9.43	433.29	0.513	0.588	0.207	0.258	0.521	0.531	0.371	0.245	33.484	36.624		0.433	0.418	0.219	1.059	0.345	0.525	0.304	0.983		13.397	16.095		3	7	7/03_S63F2
S63G5	1	UXTD	03/07/2017 13:50			473.207	462.1	9.747	439.682	0.513	0.581	0.207	0.252	0.505	0.527	0.344	0.237	33.229	36.439		0.408	0.41	0.226	1.053	0.351	0.523	0.304	0.978		13.421	16.123		3	7	7/03_S63G5
S63G5	6	UXTD	03/07/2017 14:07			483.762	471.671	9.667	429.328	0.51	0.583	0.205	0.245	0.501	0.528	0.345	0.235	32.499	35.631		0.421	0.411	0.222	1.033	0.347	0.516	0.303	0.96		13.385	16.132		3	7	7/03_S63G5
S63G5	7	UXTD	03/07/2017 14:23			470.505	456.682	9.925	426.45	0.507	0.573	0.21	0.253	0.516	0.53	0.338	0.239	32.962	35.867		0.411	0.41	0.232	1.043	0.343	0.521	0.303	0.968		13.43	16.095		3	7	7/03_S63G5
S63G5	10	UXTD	03/07/2017 14:40			457.703	463.256	10.511	421.328	0.512	0.577	0.21	0.251	0.501	0.53	0.339	0.235	33.334	35.972		0.411	0.413	0.232	1.054	0.338	0.518	0.305	0.966		13.388	16.148		3	7	7/03_S63G5
S63G5	12	UXTD	03/07/2017 15:44	191.306	18.116	470.785	470.937	9.784	437.781	0.504	0.582	0.207	0.265	0.506	0.529	0.354	0.245	33.679	36.724	761.459	0.421	0.416	0.225	1.061	0.358	0.524	0.307	0.981	0.783	13.429	16.204	0.837	3	7	7/03_S63G5
S63G5	13	UXTD	03/07/2017 16:43	161.927	18.951	468.115	458.915	10.083	439.41	0.503	0.579	0.209	0.259	0.507	0.532	0.337	0.223	33.296	36.752	763.726	0.411	0.407	0.227	1.056	0.339	0.521	0.31	0.982	0.757	13.427	16.178	0.855	3	7	7/03_S63G5
S63G5	14	UXTD	03/07/2017 16:58			473.27	465.853	9.851	435.631	0.512	0.582	0.209	0.266	0.515	0.524	0.352	0.243	33.943	36.718		0.418	0.412	0.226	1.067	0.351	0.513	0.303	0.984		13.439	16.153		3	7	7/03_S63G5
S63G6	3	UXTD	03/07/2017 10:49			496.311	479.244	9.346	446.728	0.52	0.574	0.208	0.262	0.514	0.524	0.373	0.241	33.199	35.99		0.435	0.411	0.223	1.053	0.341	0.518	0.293	0.968		13.402	16.115		3	7	7/03_S63G6
S63G6	6	UXTD	03/07/2017 11:07			486.122	494.495	9.892	436.495	0.52	0.589	0.206	0.251	0.51	0.523	0.374	0.223	32.811	35.709		0.448	0.415	0.217	1.036	0.348	0.521	0.296	0.961		13.489	16.177		3	7	7/03_S63G6
S63G6	10	UXTD	03/07/2017 11:22			492.557	499.524	9.647	432.561	0.509	0.579	0.206	0.263	0.518	0.519	0.377	0.231	33.099	35.796		0.447	0.415	0.216	1.045	0.341	0.518	0.292	0.966		13.457	16.079		3	7	7/03_S63G6
S63G6	12	UXTD	03/07/2017 12:22	203.888	16.893	496.656	491.775	10.117	428.383	0.509	0.578	0.208	0.252	0.505	0.529	0.376	0.215	33.398	36.378	781.859	0.438	0.416	0.221	1.053	0.337	0.51	0.301	0.977	0.775	13.44	16.104	0.833	3	7	7/03_S63G6
S63G6	13	UXTD	03/07/2017 13:24	172.585	17.751	497.087	487.256	9.9	423.03	0.512	0.583	0.208	0.256	0.519	0.53	0.367	0.234	33.431	36.196	779.859	0.437	0.417	0.22	1.051	0.346	0.531	0.304	0.974	0.783	13.457	16.095	0.812	3	7	7/03_S63G6
S63G6	15	UXTD	03/07/2017 13:41			492.517	480.73	10.068	420.725	0.501	0.573	0.211	0.265	0.514	0.523	0.361	0.229	33.197	35.873		0.431	0.413	0.222	1.049	0.328	0.52	0.296	0.968		13.428	16.104		3	7	7/03_S63G6
S63G6	16	UXTD	03/07/2017 13:58			482.28	480.551	9.745	440.912	0.503	0.572	0.209	0.258	0.517	0.522	0.37	0.231	32.862	35.895		0.438	0.407	0.216	1.04	0.328	0.514	0.296	0.969		13.441	16.061		3	7	7/03_S63G6
S63YU	5	UXTD	03/07/2017 18:12			493.516	485.602	8.711	431.178	0.507	0.578	0.207	0.253	0.516	0.537	0.349	0.201	33.026	35.631		0.432	0.413	0.221	1.042	0.334	0.516	0.3	0.958		13.495	16.117		3	7	7/03_S63YU
S63YU	7	UXTD	03/07/2017 18:30			503.15	485.051	8.541	452.591	0.505	0.575	0.209	0.245	0.511	0.545	0.35	0.22	33.6	35.925		0.425	0.415	0.225	1.057	0.328	0.508	0.3	0.967		13.483	16.085		3	7	7/03_S63YU
S63YU	8	UXTD	03/07/2017 18:45			497.399	480.874	9.655	423.746	0.515	0.586	0.206	0.239	0.508	0.54	0.355	0.207	32.77	35.476		0.426	0.421	0.222	1.038	0.333	0.517	0.302	0.958		13.466	16.108		3	7	7/03_S63YU
S63YU	9	UXTD	03/07/2017 19:02			483.079	485.326	9.843	426.812	0.508	0.579	0.208	0.25	0.515	0.543	0.345	0.22	33.453	36.049		0.42	0.409	0.223	1.051	0.336	0.514	0.301	0.972		13.485	16.056		3	7	7/03_S63YU
S63YU	10	UXTD	03/07/2017 19:19			497.366	489.862	8.676	437.312	0.515	0.582	0.207	0.243	0.517	0.536	0.355	0.202	32.35	35.25		0.428	0.416	0.221	1.026	0.329	0.523	0.3	0.953		13.468	16.1		3	7	7/03_S63YU
