LOTID5	WAFER_ID	PROCESS_ID_LE522600_PROCESS_ID_MAX	ET_TIME_LE522600_TKOUT_TIME_MAX	D120_M1_1b_lat_100BCR	D120_M1_1b_lat_100IRD_L	D120_M1_4b_ult_PD_Vtsat	D120_M1_4b_ult_PG_Vtsat	D120_M1_4b_ult_PU_Idsat	D120_M1_4b_ult_PU_Vtsat	EGN_2/0.15_Vtsat	EGN_2/2_Vtlin	EGN_Cov	EGP_2/0.15_Vtsat	EGP_2/2_Vtlin	EGP_Cov	LVTN_0.21/0.03x7_Vtsat	LVTP_0.3/0.03x5_Vtsat	Lpoly_RVTN	Lpoly_RVTP	NW_Res_10x30	RVTN_0.21/0.03x7_Vtsat	RVTN_1/1_Vtlin	RVTN_Cov	RVTN_Covdd	RVTP_0.3/0.03x5_Vtsat	RVTP_1/1_Vtlin	RVTP_Cov	RVTP_Covdd	RVT_Vt_Sum	SGN_Tox_inv	SGP_Tox_inv	VPNP_Beta	date	month	date_lot
S64CP	12	UXTD	27/06/2017 23:39	190.141	18.241	485.825	474.734	9.535	424.994	0.518	0.586	0.208	0.255	0.526	0.554	0.349	0.201	33.177	36.857	782.392	0.412	0.415	0.226	1.049	0.325	0.516	0.311	0.984	0.738	13.437	16.167	0.832	27	6	6/27_S64CP
S64GB	1	UXTD	27/06/2017 15:13	179.516	18.06	490.8	475	8.973	448.0705	0.52	0.587	0.207	0.259	0.534	0.55	0.367	0.247	33.094	35.756		0.434	0.42	0.222	1.044	0.342	0.524	0.304	0.966		13.498	16.084	0.832	27	6	6/27_S64GB
S64GB	2	UXTD	27/06/2017 15:31			486.627	468.7	9.153	452.554	0.516	0.589	0.207	0.257	0.531	0.544	0.355	0.236	33.532	36.019		0.425	0.407	0.221	1.059	0.346	0.518	0.302	0.972		13.42	16.099		27	6	6/27_S64GB
S64GB	4	UXTD	27/06/2017 15:49			487.843	486.518	8.523	465.307	0.51	0.576	0.206	0.263	0.533	0.545	0.355	0.24	32.989	35.768		0.43	0.409	0.217	1.043	0.366	0.526	0.299	0.964		13.461	16.115		27	6	6/27_S64GB
S64GB	10	UXTD	27/06/2017 15:59	183.196	18.944			8.216	460.9				0.253												0.352	0.518						0.823	27	6	6/27_S64GB
S64GB	11	UXTD	27/06/2017 16:10	172.378	17.499			8.318	454.077				0.25												0.344	0.527						0.843	27	6	6/27_S64GB
S64GB	12	UXTD	27/06/2017 17:11	160.216	17.847	482.831	478.757	8.695	442.377	0.511	0.58	0.208	0.242	0.529	0.549	0.357	0.217	32.855	35.659	796.125	0.427	0.413	0.22	1.039	0.342	0.524	0.302	0.959	0.77	13.449	16.162	0.841	27	6	6/27_S64GB
S64GB	13	UXTD	27/06/2017 18:14	175.017	16.58	508.194	486.016	8.146	472.882	0.514	0.578	0.208	0.249	0.526	0.557	0.368	0.225	33.115	36.097	796.659	0.438	0.42	0.219	1.046	0.34	0.524	0.303	0.969	0.78	13.468	16.151	0.831	27	6	6/27_S64GB
S64GB	15	UXTD	27/06/2017 18:24	195.589	18.154			8.994	448.907				0.248												0.352	0.516						0.821	27	6	6/27_S64GB
S64GB	16	UXTD	27/06/2017 18:34	179.219	17.543			9.374	447.873				0.25												0.341	0.526						0.859	27	6	6/27_S64GB
