LOTID5	WAFER_ID	PROCESS_ID_LE821910_PROCESS_ID_MAX	ET_TIME_LE821910_TKOUT_TIME_MAX	D120_M1_1b_lat_100BCR	D120_M1_1b_lat_100IRD_L	D120_M1_4b_ult_PD_Vtsat	D120_M1_4b_ult_PG_Vtsat	D120_M1_4b_ult_PU_Idsat	D120_M1_4b_ult_PU_Vtsat	EGN_2/0.15_Vtsat	EGN_2/2_Vtlin	EGN_Cov	EGP_2/0.15_Vtsat	EGP_2/2_Vtlin	EGP_Cov	LVTN_0.21/0.03x7_Vtsat	LVTP_0.3/0.03x5_Vtsat	Lpoly_RVTN	Lpoly_RVTP	RVTN_Cov	RVTN_Covdd	RVTP_Cov	RVTP_Covdd	SGN_Tox_inv	SGP_Tox_inv	date	month	date_lot
S5ZKV	6	UXTD	27/06/2017 20:41			475.187	477.623	10.119	425.955	0.509	0.572	0.206	0.277	0.482	0.57	0.335	0.219	33.252	36.477	0.214	1.055	0.237	0.978	13.369	16.164	27	6	6/27_S5ZKV
S5ZKV	7	UXTD	27/06/2017 20:54			460.9	471.015	10.203	421.8	0.509	0.564	0.207	0.274	0.482	0.557	0.327	0.224	32.98	35.793	0.219	1.044	0.236	0.961	13.417	16.183	27	6	6/27_S5ZKV
S5ZKV	10	UXTD	27/06/2017 21:05			478.999	460.9	9.439	442.431	0.506	0.573	0.206	0.275	0.487	0.565	0.34	0.212	32.934	36.106	0.213	1.044	0.239	0.97	13.415	16.152	27	6	6/27_S5ZKV
S5ZKV	12	UXTD	27/06/2017 21:18			473.728	471.057	9.661	434.942	0.507	0.564	0.206	0.27	0.483	0.563	0.339	0.217	33.053	36.289	0.216	1.046	0.237	0.969	13.452	16.219	27	6	6/27_S5ZKV
S5ZKV	13	UXTD	27/06/2017 22:21	226.658	21.529	476.289	472.572	9.542	446.036	0.514	0.579	0.208	0.278	0.484	0.564	0.335	0.238	33.022	35.738	0.219	1.045	0.235	0.962	13.398	16.148	27	6	6/27_S5ZKV
S5ZKV	14	UXTD	27/06/2017 22:33			467.024	481.36	9.84	443.292	0.51	0.567	0.207	0.279	0.487	0.566	0.328	0.226	33.311	36.416	0.218	1.055	0.239	0.977	13.406	16.143	27	6	6/27_S5ZKV
S5ZKV	15	UXTD	27/06/2017 22:46			466.792	477.343	9.72	435.613	0.512	0.574	0.203	0.276	0.479	0.574	0.344	0.245	33.22	36.502	0.21	1.049	0.234	0.975	13.428	16.203	27	6	6/27_S5ZKV
S5ZKV	16	UXTD	27/06/2017 22:58			482.88	474.471	8.762	456.21	0.517	0.572	0.205	0.277	0.483	0.566	0.342	0.236	33.615	36.744	0.216	1.062	0.241	0.984	13.394	16.134	27	6	6/27_S5ZKV
S5ZKV	17	UXTD	27/06/2017 23:10			476.033	470.197	9.729	451.94	0.504	0.562	0.206	0.279	0.485	0.566	0.334	0.24	33.196	36.058	0.218	1.047	0.236	0.966	13.412	16.215	27	6	6/27_S5ZKV
S5ZKV	18	UXTD	27/06/2017 23:23			479.779	483.534	8.941	431.515	0.508	0.573	0.208	0.282	0.486	0.57	0.346	0.234	33.25	36.007	0.217	1.048	0.239	0.965	13.437	16.202	27	6	6/27_S5ZKV
S5ZKV	19	UXTD	27/06/2017 23:35			477.754	480.329	9.523	437.294	0.502	0.564	0.208	0.275	0.48	0.564	0.335	0.236	33.379	36.135	0.22	1.057	0.24	0.969	13.378	16.169	27	6	6/27_S5ZKV
S5ZKV	20	UXTD	27/06/2017 23:47			478.302	477.601	9.586	437.494	0.515	0.575	0.204	0.272	0.48	0.556	0.348	0.229	33.017	35.951	0.212	1.044	0.234	0.964	13.422	16.219	27	6	6/27_S5ZKV
S63PF	13	UXTN	27/06/2017 11:03	234.615	18.096	487.272	485.919	10.531	422.208							0.356	0.216	33.888	36.737	0.209	1.072	0.235	0.982	13.349	16.17	27	6	6/27_S63PF
SZ7PB	2	UXTD	27/06/2017 08:27			472.672	480.198	10.06	444.371	0.495	0.556	0.211	0.285	0.494	0.571	0.342	0.217	33.857	36.223	0.222	1.063	0.235	0.961	13.463	16.415	27	6	6/27_SZ7PB
SZ7PB	4	UXTD	27/06/2017 08:40			459.198	466.654	10.976	422.544	0.494	0.556	0.21	0.283	0.491	0.571	0.33	0.232	34.236	36.913	0.224	1.074	0.242	0.977	13.444	16.325	27	6	6/27_SZ7PB
SZ7PB	6	UXTD	27/06/2017 08:51			468.7	462.156	9.361	449.529	0.494	0.555	0.21	0.285	0.495	0.572	0.339	0.23	34.094	37.194	0.221	1.072	0.24	0.977	13.444	16.427	27	6	6/27_SZ7PB
SZ7PB	8	UXTD	27/06/2017 09:03			441.728	455.027	10.707	437.041	0.494	0.558	0.209	0.28	0.493	0.571	0.327	0.218	33.885	36.87	0.223	1.071	0.241	0.978	13.378	16.338	27	6	6/27_SZ7PB
SZ7PB	10	UXTD	27/06/2017 09:16			453.509	450.384	9.813	443.228	0.494	0.556	0.211	0.282	0.49	0.568	0.314	0.204	33.667	36.607	0.225	1.067	0.245	0.975	13.355	16.25	27	6	6/27_SZ7PB
SZ7PB	13	UXTD	27/06/2017 10:16	195.416	23.234	453.1	453.782	10.262	450.786	0.497	0.555	0.209	0.29	0.496	0.564	0.333	0.242	34.084	36.436	0.221	1.072	0.237	0.968	13.422	16.321	27	6	6/27_SZ7PB
SZ7PB	14	UXTD	27/06/2017 10:28			457.867	450.9	9.617	447.717	0.499	0.557	0.209	0.283	0.494	0.571	0.334	0.24	34.538	36.728	0.222	1.085	0.242	0.978	13.37	16.225	27	6	6/27_SZ7PB
SZ7PB	16	UXTD	27/06/2017 10:41			459.647	449.786	10.02	463.264	0.497	0.561	0.209	0.29	0.494	0.568	0.333	0.238	34.187	36.998	0.223	1.07	0.242	0.981	13.479	16.288	27	6	6/27_SZ7PB
SZ7PB	17	UXTD	27/06/2017 10:52			454.88	465.645	9.81	457.228	0.497	0.555	0.209	0.284	0.494	0.561	0.333	0.235	34.113	36.508	0.221	1.073	0.241	0.973	13.423	16.242	27	6	6/27_SZ7PB
SZ7PB	18	UXTD	27/06/2017 11:04			456.138	452.446	9.6	456.852	0.494	0.555	0.209	0.278	0.484	0.565	0.329	0.24	34.303	36.513	0.224	1.077	0.237	0.967	13.42	16.326	27	6	6/27_SZ7PB
SZ7PB	19	UXTD	27/06/2017 11:17			449.408	463.428	10.199	433.804	0.491	0.554	0.209	0.278	0.49	0.567	0.337	0.224	34.187	36.911	0.221	1.071	0.238	0.973	13.427	16.417	27	6	6/27_SZ7PB
SZ7U3	7	UXTD	27/06/2017 05:42	205.403	20.291	487.517	487.595	10.383	422.031	0.487	0.551	0.208	0.271	0.484	0.561	0.333	0.209	32.51	35.276	0.219	1.032	0.237	0.94	13.428	16.41	27	6	6/27_SZ7U3
SZ7U3	8	UXTD	27/06/2017 05:53			493.721	481.886	9.917	446.638	0.485	0.547	0.209	0.277	0.489	0.568	0.335	0.214	32.228	35.116	0.218	1.026	0.241	0.943	13.419	16.225	27	6	6/27_SZ7U3
SZ7U3	10	UXTD	27/06/2017 06:06			485.803	481.054	9.664	460.708	0.489	0.552	0.208	0.28	0.488	0.568	0.335	0.22	32.63	35.384	0.218	1.033	0.236	0.947	13.492	16.29	27	6	6/27_SZ7U3
S5XYD	1	UXTD	28/06/2017 10:39			468.274	468.729	8.918	459.79	0.51	0.576	0.206	0.275	0.482	0.566	0.342	0.245	32.998	35.637	0.217	1.039	0.232	0.955	13.475	16.261	28	6	6/28_S5XYD
S5XYD	3	UXTD	28/06/2017 10:51			460.512	475.46	9.262	435.485	0.509	0.569	0.208	0.274	0.482	0.563	0.339	0.222	33.018	35.877	0.218	1.042	0.236	0.961	13.445	16.25	28	6	6/28_S5XYD
S5XYD	4	UXTD	28/06/2017 11:53	210.137	21.443	457.956	466.056	9.743	431.448	0.499	0.557	0.208	0.276	0.485	0.572	0.338	0.221	33.368	36.271	0.22	1.052	0.238	0.966	13.442	16.263	28	6	6/28_S5XYD
S5XYD	5	UXTD	28/06/2017 12:04			472.613	482.753	8.353	470	0.509	0.567	0.205	0.275	0.485	0.563	0.354	0.234	32.928	35.988	0.213	1.036	0.235	0.961	13.472	16.266	28	6	6/28_S5XYD
S5Y0T	1	UXTD	28/06/2017 01:41			461.826	472.168	11.043	441.679	0.508	0.566	0.208	0.28	0.482	0.571	0.331	0.232	33.901	36.959	0.22	1.064	0.232	0.985	13.467	16.207	28	6	6/28_S5Y0T
S5Y0T	4	UXTD	28/06/2017 01:53			462.981	476.069	10.79	431.707	0.506	0.563	0.206	0.28	0.48	0.571	0.329	0.238	33.441	36.476	0.216	1.058	0.228	0.975	13.388	16.19	28	6	6/28_S5Y0T
S5Y0T	7	UXTD	28/06/2017 02:04			465.89	458.956	10.71	433.017	0.501	0.56	0.208	0.28	0.479	0.572	0.34	0.224	33.651	36.64	0.218	1.06	0.232	0.978	13.402	16.205	28	6	6/28_S5Y0T
S5Y0T	8	UXTD	28/06/2017 02:16			455.017	470.873	10.78	430.95	0.506	0.564	0.207	0.279	0.477	0.579	0.332	0.218	34.517	37.155	0.22	1.082	0.233	0.991	13.389	16.175	28	6	6/28_S5Y0T
S5Y0T	10	UXTD	28/06/2017 02:29			466.623	470.666	10.569	443.772	0.501	0.562	0.204	0.282	0.483	0.566	0.337	0.236	32.978	36.341	0.211	1.045	0.231	0.975	13.373	16.154	28	6	6/28_S5Y0T
S5Y0T	13	UXTD	28/06/2017 03:30	224.531	21.463	454.572	470.414	10.616	448.611	0.502	0.559	0.208	0.281	0.482	0.57	0.332	0.23	34.262	37.04	0.219	1.077	0.232	0.986	13.402	16.188	28	6	6/28_S5Y0T
S5Y0T	14	UXTD	28/06/2017 03:42			474.935	478.496	10.857	442.809	0.503	0.565	0.208	0.283	0.475	0.579	0.334	0.216	33.605	36.767	0.217	1.064	0.236	0.984	13.389	16.135	28	6	6/28_S5Y0T
S5Y0T	18	UXTD	28/06/2017 03:55			454.252	458.138	11.384	415.538	0.503	0.568	0.207	0.283	0.485	0.578	0.322	0.207	33.39	36.485	0.217	1.056	0.236	0.976	13.42	16.155	28	6	6/28_S5Y0T
S5Y0T	20	UXTD	28/06/2017 04:06			450.457	457.881	10.83	432.285	0.497	0.562	0.209	0.285	0.484	0.58	0.324	0.223	34.537	37.114	0.22	1.081	0.234	0.991	13.414	16.177	28	6	6/28_S5Y0T
S5Y0T	21	UXTD	28/06/2017 04:18			445.3	451.277	11.148	435.493	0.495	0.559	0.209	0.282	0.487	0.574	0.326	0.22	34.312	36.931	0.22	1.077	0.239	0.985	13.387	16.193	28	6	6/28_S5Y0T
S5Y0T	22	UXTD	28/06/2017 04:31			446.464	469.771	11.067	425.249	0.516	0.571	0.205	0.278	0.48	0.575	0.331	0.208	32.611	36.079	0.212	1.035	0.237	0.969	13.405	16.132	28	6	6/28_S5Y0T
S5Y0T	23	UXTD	28/06/2017 04:42			450.055	459.871	12.521	410.523	0.503	0.562	0.207	0.275	0.476	0.57	0.331	0.203	33.049	35.811	0.216	1.05	0.233	0.962	13.411	16.17	28	6	6/28_S5Y0T
S5Y0T	24	UXTD	28/06/2017 04:54			444.147	460.04	10.68	418.885	0.5	0.559	0.209	0.281	0.484	0.567	0.327	0.213	34.031	36.91	0.219	1.069	0.234	0.984	13.44	16.221	28	6	6/28_S5Y0T
S5Y0T	25	UXTD	28/06/2017 05:07			458.767	467.893	11.397	427.289	0.508	0.568	0.208	0.284	0.485	0.578	0.326	0.233	33.866	37.105	0.217	1.065	0.239	0.989	13.454	16.174	28	6	6/28_S5Y0T
S5Y69	2	UXTD	28/06/2017 20:36			473.949	471.252	11.391	421.11	0.506	0.56	0.203	0.29	0.489	0.575	0.363	0.236	32.625	36.296	0.207	1.038	0.223	0.971	13.378	16.199	28	6	6/28_S5Y69
S5Y69	3	UXTD	28/06/2017 21:38	244.192	17.175	493.448	500.844	11.075	422.968	0.506	0.563	0.2	0.293	0.483	0.569	0.384	0.263	32.426	35.4	0.2	1.028	0.215	0.949	13.43	16.256	28	6	6/28_S5Y69
S5Y9Y	1	UXTD	28/06/2017 05:21			474.621	470.313	10.883	432.958	0.517	0.567	0.206	0.277	0.479	0.561	0.339	0.199	32.516	35.353	0.223	1.027	0.235	0.944	13.415	16.289	28	6	6/28_S5Y9Y
S5Y9Y	2	UXTD	28/06/2017 05:33			468.492	473.707	11.277	412.695	0.502	0.564	0.205	0.281	0.468	0.565	0.343	0.209	32.492	35.452	0.214	1.03	0.229	0.954	13.426	16.193	28	6	6/28_S5Y9Y
S5Y9Y	6	UXTD	28/06/2017 05:43			479.365	475.546	9.93	421.8	0.513	0.568	0.205	0.278	0.476	0.562	0.343	0.2	32.59	35.913	0.216	1.031	0.239	0.961	13.433	16.237	28	6	6/28_S5Y9Y
S5Y9Y	11	UXTD	28/06/2017 05:56			463.819	468.7	10.484	417.697	0.507	0.566	0.209	0.278	0.484	0.565	0.338	0.212	32.879	35.484	0.225	1.041	0.242	0.957	13.4	16.168	28	6	6/28_S5Y9Y
S5Y9Y	12	UXTD	28/06/2017 06:09			459.321	454.743	10.077	445.617	0.502	0.563	0.206	0.282	0.476	0.569	0.342	0.209	32.742	35.885	0.215	1.04	0.231	0.961	13.407	16.246	28	6	6/28_S5Y9Y
S5Y9Y	13	UXTD	28/06/2017 07:10	210.787	20.098	474.517	473.154	10.532	435.588	0.506	0.562	0.207	0.277	0.483	0.557	0.349	0.215	33.06	36.083	0.215	1.044	0.235	0.963	13.432	16.246	28	6	6/28_S5Y9Y
S5Y9Y	14	UXTD	28/06/2017 07:23			460.9	452.305	10.313	419.012	0.501	0.559	0.206	0.281	0.483	0.559	0.333	0.208	32.524	35.846	0.215	1.034	0.237	0.96	13.376	16.199	28	6	6/28_S5Y9Y
S5Y9Y	17	UXTD	28/06/2017 07:36			471.892	477.651	10.178	424.572	0.512	0.565	0.206	0.277	0.488	0.564	0.345	0.216	32.777	35.778	0.216	1.038	0.239	0.962	13.431	16.201	28	6	6/28_S5Y9Y
S5Y9Y	18	UXTD	28/06/2017 07:47			465.103	464.161	10.323	436.922	0.503	0.56	0.209	0.273	0.483	0.554	0.331	0.203	32.227	34.846	0.221	1.022	0.238	0.94	13.409	16.19	28	6	6/28_S5Y9Y
S5Y9Y	19	UXTD	28/06/2017 08:00			464.412	464.469	11.023	422.841	0.501	0.567	0.208	0.277	0.48	0.565	0.331	0.201	32.647	35.545	0.224	1.032	0.24	0.954	13.441	16.221	28	6	6/28_S5Y9Y
S5Y9Y	21	UXTD	28/06/2017 08:13			475.846	467.523	10.545	437.5	0.509	0.563	0.206	0.286	0.48	0.564	0.349	0.215	33.252	36.307	0.214	1.05	0.229	0.969	13.422	16.209	28	6	6/28_S5Y9Y
S5Y9Y	22	UXTD	28/06/2017 08:25			464.017	468.198	10.365	431.525	0.505	0.562	0.207	0.287	0.476	0.568	0.343	0.221	33.355	36.564	0.215	1.053	0.23	0.974	13.443	16.243	28	6	6/28_S5Y9Y
S5Y9Y	23	UXTD	28/06/2017 08:38			448.799	472.617	10.446	439.706	0.509	0.563	0.205	0.284	0.484	0.56	0.346	0.224	32.986	35.941	0.215	1.044	0.23	0.961	13.421	16.305	28	6	6/28_S5Y9Y
S5Y9Y	25	UXTD	28/06/2017 08:51			481.326	481.037	9.512	445.52	0.509	0.568	0.206	0.292	0.48	0.557	0.357	0.241	34.233	37.11	0.214	1.074	0.242	0.989	13.443	16.184	28	6	6/28_S5Y9Y
S5YDX	1	UXTD	28/06/2017 17:55			479.737	492.1	10.509	414	0.508	0.563	0.205	0.267	0.484	0.567	0.353	0.189	32.029	35.54	0.214	1.015	0.236	0.948	13.453	16.329	28	6	6/28_S5YDX
S5YDX	8	UXTD	28/06/2017 18:08			471.966	477.084	11.303	415.32	0.505	0.563	0.209	0.266	0.484	0.571	0.339	0.196	32.556	35.756	0.221	1.035	0.243	0.96	13.388	16.221	28	6	6/28_S5YDX
S5YDX	11	UXTD	28/06/2017 18:19			468.596	469.895	11.585	401.112	0.5	0.563	0.208	0.265	0.487	0.573	0.335	0.2	32.541	35.692	0.219	1.034	0.242	0.958	13.398	16.222	28	6	6/28_S5YDX
S5YDX	13	UXTD	28/06/2017 19:21	207.823	21.604	473.491	468.344	11.106	417.096	0.499	0.563	0.209	0.264	0.479	0.568	0.336	0.193	32.388	35.61	0.219	1.028	0.24	0.955	13.399	16.231	28	6	6/28_S5YDX
S5YDX	16	UXTD	28/06/2017 19:34			470.813	467.464	12.688	385.449	0.501	0.565	0.21	0.266	0.485	0.581	0.329	0.188	32.371	35.379	0.221	1.027	0.243	0.951	13.423	16.17	28	6	6/28_S5YDX
S5YDX	21	UXTD	28/06/2017 19:45			464.399	467.468	11.408	425.268	0.503	0.566	0.207	0.265	0.485	0.574	0.336	0.194	32.185	35.818	0.216	1.028	0.241	0.961	13.364	16.21	28	6	6/28_S5YDX
S5YDX	22	UXTD	28/06/2017 19:58			462.101	474.367	11.799	409.372	0.5	0.567	0.21	0.265	0.486	0.572	0.32	0.178	32.427	35.402	0.22	1.03	0.241	0.949	13.401	16.248	28	6	6/28_S5YDX
S5YF2	3	UXTD	28/06/2017 10:43			469.779	472.443	12.553	414.806	0.5	0.563	0.207	0.27	0.481	0.573	0.327	0.205	32.711	36.132	0.217	1.035	0.229	0.963	13.452	16.269	28	6	6/28_S5YF2
S5YF2	4	UXTD	28/06/2017 11:45	220.134	21.011	463.599	481.823	12.814	392.496	0.507	0.567	0.209	0.271	0.481	0.574	0.329	0.194	32.476	35.78	0.221	1.031	0.234	0.958	13.444	16.22	28	6	6/28_S5YF2
S5YF2	5	UXTD	28/06/2017 11:57			476.82	474.434	12.15	393.927	0.512	0.574	0.205	0.276	0.476	0.568	0.345	0.22	32.129	35.573	0.212	1.021	0.228	0.955	13.4	16.196	28	6	6/28_S5YF2
S5YF2	6	UXTD	28/06/2017 12:07			465.373	464.603	12.478	410.445	0.513	0.565	0.206	0.277	0.482	0.57	0.332	0.207	32.497	36.065	0.215	1.035	0.231	0.969	13.372	16.15	28	6	6/28_S5YF2
S5YKZ	3	UXTD	28/06/2017 12:10			457.268	481.053	10.764	432.659	0.521	0.567	0.206	0.276	0.475	0.568	0.335	0.23	33.935	36.434	0.224	1.069	0.237	0.972	13.382	16.221	28	6	6/28_S5YKZ
S5YKZ	4	UXTD	28/06/2017 12:23			475.859	468.331	11.442	423.795	0.515	0.566	0.207	0.28	0.481	0.574	0.337	0.24	34.037	36.482	0.224	1.073	0.24	0.979	13.368	16.096	28	6	6/28_S5YKZ
S5YKZ	5	UXTD	28/06/2017 13:31	233.411	20.151	470.617	475.596	11.251	440.044	0.514	0.568	0.206	0.28	0.486	0.576	0.335	0.235	33.997	36.336	0.223	1.074	0.241	0.974	13.374	16.188	28	6	6/28_S5YKZ
S5YN4	2	UXTD	28/06/2017 20:37			466.826	472.547	9.684	447.367	0.508	0.564	0.206	0.271	0.477	0.567	0.34	0.227	32.385	35.41	0.215	1.027	0.231	0.954	13.413	16.206	28	6	6/28_S5YN4
S5YN4	3	UXTD	28/06/2017 21:39	217.056	21.057	467.068	475.362	10.263	425.884	0.5	0.564	0.208	0.27	0.477	0.57	0.34	0.201	32.869	35.731	0.221	1.038	0.234	0.953	13.476	16.34	28	6	6/28_S5YN4
S5YYF	2	UXTD	28/06/2017 13:53			470.295	463.592	11.464	418.049	0.504	0.564	0.208	0.274	0.472	0.573	0.328	0.221	32.905	35.832	0.218	1.047	0.235	0.966	13.326	16.085	28	6	6/28_S5YYF
S5YYF	7	UXTD	28/06/2017 14:06			459.442	486.018	11.786	414.906	0.504	0.56	0.208	0.269	0.471	0.563	0.334	0.211	32.916	35.746	0.218	1.04	0.232	0.959	13.445	16.222	28	6	6/28_S5YYF
S5YYF	8	UXTD	28/06/2017 14:17			457.385	479.139	11.4	445.648	0.504	0.563	0.207	0.269	0.476	0.57	0.337	0.222	32.584	35.603	0.216	1.032	0.231	0.96	13.423	16.134	28	6	6/28_S5YYF
S5YYF	9	UXTD	28/06/2017 14:30			458.084	468.7	11.718	407.837	0.5	0.56	0.207	0.274	0.476	0.565	0.331	0.205	32.63	35.711	0.215	1.031	0.235	0.958	13.443	16.225	28	6	6/28_S5YYF
S5YYF	10	UXTD	28/06/2017 14:43			464.106	465.812	11.68	417.126	0.499	0.56	0.208	0.27	0.472	0.57	0.335	0.217	32.723	35.64	0.218	1.033	0.23	0.956	13.493	16.248	28	6	6/28_S5YYF
S5YYF	11	UXTD	28/06/2017 14:54			468.382	475.522	11.714	422.036	0.5	0.557	0.208	0.273	0.48	0.566	0.335	0.198	32.485	35.514	0.216	1.03	0.236	0.955	13.419	16.161	28	6	6/28_S5YYF
S5YYF	12	UXTD	28/06/2017 15:07			455.429	465.506	12.427	409.181	0.499	0.563	0.208	0.27	0.475	0.567	0.326	0.199	32.616	35.78	0.217	1.038	0.235	0.965	13.365	16.106	28	6	6/28_S5YYF
S5YYF	13	UXTD	28/06/2017 16:09	216.835	21.085	464.609	467.303	12.202	396.46	0.5	0.563	0.208	0.267	0.474	0.565	0.325	0.2	32.89	35.588	0.218	1.044	0.235	0.956	13.397	16.175	28	6	6/28_S5YYF
S5YYF	16	UXTD	28/06/2017 16:20			464.928	468.187	11.242	417.318	0.501	0.563	0.208	0.269	0.472	0.568	0.317	0.212	32.448	35.841	0.217	1.035	0.235	0.967	13.346	16.11	28	6	6/28_S5YYF
S5YYF	17	UXTD	28/06/2017 16:33			471.413	469.416	11.419	416.226	0.508	0.567	0.207	0.276	0.478	0.568	0.326	0.225	33.004	35.863	0.219	1.046	0.235	0.965	13.437	16.162	28	6	6/28_S5YYF
S5YYF	18	UXTD	28/06/2017 16:45			460.07	456.288	11.298	424.095	0.503	0.562	0.208	0.272	0.48	0.567	0.329	0.215	32.936	35.834	0.218	1.044	0.235	0.965	13.403	16.118	28	6	6/28_S5YYF
S5YYF	20	UXTD	28/06/2017 16:56			466.458	466.495	10.917	421.431	0.505	0.568	0.207	0.269	0.481	0.566	0.329	0.205	32.422	35.622	0.216	1.029	0.238	0.958	13.418	16.177	28	6	6/28_S5YYF
S5YYF	21	UXTD	28/06/2017 17:09			472.195	462.022	13.066	392.523	0.504	0.563	0.207	0.268	0.471	0.568	0.335	0.198	32.73	35.509	0.217	1.036	0.233	0.954	13.466	16.21	28	6	6/28_S5YYF
S5YYF	24	UXTD	28/06/2017 17:22			464.269	471.62	11.466	419.134	0.506	0.567	0.206	0.269	0.477	0.569	0.329	0.211	32.514	35.883	0.216	1.037	0.235	0.967	13.342	16.107	28	6	6/28_S5YYF
S5Z0G	2	UXTD	28/06/2017 21:49	199.918	22.83	435.071	447.564	11.245	412.968	0.497	0.558	0.206	0.273	0.48	0.568	0.342	0.204	33.039	35.944	0.215	1.047	0.237	0.961	13.403	16.245	28	6	6/28_S5Z0G
S5Z0G	5	UXTD	28/06/2017 22:01			432.839	444.568	10.904	429.6	0.497	0.557	0.208	0.276	0.486	0.57	0.334	0.207	32.917	35.802	0.218	1.039	0.235	0.956	13.393	16.27	28	6	6/28_S5Z0G
S5Z2D	3	UXTD	28/06/2017 21:49	218.885	21.48	466.368	468.666	10.762	424.808	0.501	0.568	0.209	0.276	0.48	0.573	0.33	0.218	33.118	35.483	0.221	1.045	0.23	0.95	13.47	16.272	28	6	6/28_S5Z2D
S5Z2D	4	UXTD	28/06/2017 22:02			470.459	480.618	10.247	448.727	0.501	0.564	0.207	0.284	0.478	0.571	0.341	0.225	33.183	35.72	0.221	1.051	0.233	0.96	13.391	16.173	28	6	6/28_S5Z2D
S5Z2G	5	UXTD	28/06/2017 23:48	210.293	20.894	462.185	467.308	10.703	440.157	0.505	0.57	0.206	0.268	0.479	0.567	0.338	0.226	32.832	36.261	0.216	1.039	0.238	0.967	13.424	16.236	28	6	6/28_S5Z2G
S5Z4H	20	UXTD	28/06/2017 23:44			474.223	472.039	10.577	439.896	0.512	0.565	0.206	0.286	0.489	0.57	0.355	0.222	32.826	36.084	0.212	1.038	0.233	0.966	13.451	16.208	28	6	6/28_S5Z4H
S5ZA5	1	UXTD	28/06/2017 15:13			475.99	486.886	9.676	463.971	0.524	0.578	0.206	0.277	0.48	0.567	0.351	0.227	33.67	35.918	0.221	1.063	0.235	0.963	13.404	16.21	28	6	6/28_S5ZA5
S5ZA5	2	UXTD	28/06/2017 15:25			483.338	478.761	8.577	459.022	0.517	0.573	0.206	0.276	0.474	0.57	0.344	0.236	33.891	36.168	0.223	1.066	0.237	0.967	13.399	16.231	28	6	6/28_S5ZA5
S5ZA5	3	UXTD	28/06/2017 15:36			468.406	476.771	9.312	440.535	0.513	0.571	0.206	0.271	0.475	0.559	0.337	0.222	33.375	35.827	0.221	1.057	0.235	0.962	13.357	16.204	28	6	6/28_S5ZA5
S5ZA5	6	UXTD	28/06/2017 15:48			476.086	478.055	9.564	457.663	0.507	0.563	0.206	0.276	0.484	0.558	0.354	0.228	33.306	35.98	0.219	1.052	0.233	0.962	13.425	16.253	28	6	6/28_S5ZA5
S5ZA5	7	UXTD	28/06/2017 16:00			478.046	480.427	9.563	441.265	0.514	0.561	0.207	0.282	0.482	0.558	0.345	0.235	33.703	36.12	0.222	1.065	0.233	0.964	13.386	16.266	28	6	6/28_S5ZA5
S5ZA5	11	UXTD	28/06/2017 16:11			470.753	479.986	10.717	430.625	0.512	0.563	0.207	0.279	0.483	0.567	0.349	0.234	33.858	36.157	0.223	1.066	0.235	0.966	13.418	16.226	28	6	6/28_S5ZA5
S5ZA5	12	UXTD	28/06/2017 16:23			474.519	480.179	9.556	452.784	0.507	0.568	0.206	0.274	0.479	0.562	0.353	0.236	33.24	35.709	0.221	1.053	0.237	0.964	13.371	16.103	28	6	6/28_S5ZA5
S5ZA5	13	UXTD	28/06/2017 17:25	230.856	18.549	473.985	489.267	8.582	459.297	0.511	0.565	0.207	0.279	0.487	0.557	0.351	0.223	33.546	36.107	0.219	1.059	0.235	0.965	13.412	16.24	28	6	6/28_S5ZA5
S5ZA5	15	UXTD	28/06/2017 17:36			482.122	479.974	8.725	475.047	0.519	0.575	0.206	0.273	0.478	0.562	0.337	0.225	33.565	36.131	0.222	1.06	0.238	0.968	13.384	16.146	28	6	6/28_S5ZA5
S5ZA5	17	UXTD	28/06/2017 17:48			469.463	472.425	9.706	463.876	0.513	0.563	0.207	0.289	0.489	0.57	0.348	0.239	33.29	35.956	0.221	1.054	0.234	0.962	13.414	16.239	28	6	6/28_S5ZA5
S5ZA5	18	UXTD	28/06/2017 18:00			482.567	480.503	9.538	461.459	0.507	0.569	0.205	0.278	0.48	0.561	0.347	0.246	33.439	35.825	0.22	1.056	0.233	0.956	13.447	16.289	28	6	6/28_S5ZA5
S5ZA5	21	UXTD	28/06/2017 18:11			482.988	480.749	9.866	442.515	0.51	0.562	0.207	0.279	0.478	0.567	0.346	0.236	33.657	36.02	0.22	1.06	0.233	0.963	13.41	16.279	28	6	6/28_S5ZA5
S5ZA5	23	UXTD	28/06/2017 18:23			491.153	492.483	8.471	456.848	0.52	0.569	0.202	0.286	0.481	0.562	0.365	0.254	33.684	35.944	0.213	1.061	0.229	0.963	13.444	16.229	28	6	6/28_S5ZA5
S5ZA5	25	UXTD	28/06/2017 18:35			483.707	486.523	9.531	453.1	0.515	0.567	0.206	0.29	0.487	0.559	0.348	0.234	33.426	35.831	0.218	1.052	0.233	0.959	13.461	16.255	28	6	6/28_S5ZA5
S5ZA7	24	UXTD	28/06/2017 22:10	235.556	19.885	463.342	456.719	9.669	440.391	0.504	0.568	0.208	0.274	0.475	0.578	0.331	0.224	34.002	36.86	0.219	1.075	0.244	0.984	13.376	16.18	28	6	6/28_S5ZA7
